ensembl_gene_id,ymin,ymax,range,y0,y1,y120,t_max,type,tpm_level,cluster,subcluster,cluster_name
ENSDARG00000044093,7.760437999999999,724.44972,716.6892819999999,7.760437999999999,43.9815184,304.878389,16.0,maternal,medium,3.0,2.0,SU ZGA
ENSDARG00000044094,0.1763158,14.378132,14.2018162,0.1763158,0.33527,9.13938,8.0,maternal,medium,3.0,1.0,SU ZGA
ENSDARG00000044098,0.0562342,9.3218014,9.2655672,0.1388501999999999,0.1203289999999999,4.1280186,19.0,maternal,low,3.0,2.0,SU ZGA
ENSDARG00000044102,4.31569,123.304384,118.988694,4.31569,10.816958,25.34794,10.3,maternal,medium,2.0,4.0,TU post-ZGA
ENSDARG00000044114,1.808914,13.54952,11.740606,4.77202,8.545463999999999,1.808914,5.25,maternal,medium,2.0,4.0,TU post-ZGA
ENSDARG00000044125,0.4784292,324.0467172,323.568288,0.4784292,0.6415428000000001,54.2051814,24.0,maternal,medium,3.0,3.0,SU ZGA
ENSDARG00000044132,0.0,56.80296,56.80296,0.0,0.1050354,43.8669,96.0,maternal,medium,4.0,3.0,SU post-ZGA
ENSDARG00000044134,4.054384,14.196120000000002,10.141736000000002,6.169704,7.57051,4.054384,4.3,maternal,medium,1.0,3.0,TU pre-ZGA
ENSDARG00000044135,1.631612,11.388597999999998,9.756985999999998,1.631612,2.561684,2.5642380000000005,10.3,maternal,medium,3.0,0.0,SU ZGA
ENSDARG00000044136,10.406672,89.18212799999999,78.77545599999999,31.676942399999994,37.164244,10.5610064,4.3,maternal,medium,1.0,2.0,TU pre-ZGA
ENSDARG00000044142,6.1932378,76.90047999999999,70.70724219999998,55.9687,76.90047999999999,9.6929214,0.75,maternal,medium,0.0,1.0,SD
ENSDARG00000044143,3.30898,90.18326,86.87427999999998,6.990558,10.592526,4.216694,2.25,maternal,medium,1.0,3.0,TU pre-ZGA
ENSDARG00000044144,4.273292,59.116224,54.842932000000005,17.846308,40.58424599999999,4.8738,2.25,maternal,medium,1.0,2.0,TU pre-ZGA
ENSDARG00000044153,38.33388,144.008978,105.67509800000002,131.18359999999998,133.60020000000003,128.4563672,10.3,maternal,medium,3.0,0.0,SU ZGA
ENSDARG00000044155,0.0173348,20.42342,20.4060852,0.0807658,0.3110942,11.911,19.0,maternal,medium,3.0,4.0,SU ZGA
ENSDARG00000044161,0.0,2.607748,2.607748,1.0644884,0.5165105999999999,2.607748,120.0,maternal,low,4.0,1.0,SU post-ZGA
ENSDARG00000044167,1.609836,85.69131999999999,84.08148399999999,1.609836,4.753760000000001,27.559242000000005,24.0,maternal,medium,3.0,3.0,SU ZGA
ENSDARG00000044169,0.146673,7.37074,7.224067,0.146673,0.2854098,5.87727,72.0,maternal,low,3.0,4.0,SU ZGA
ENSDARG00000044175,0.0,0.3910019999999999,0.3910019999999999,0.0,0.0561758,0.2470892,96.0,maternal,low,,,
ENSDARG00000044179,1.8198474,10.672896,8.8530486,10.672896,6.333572599999999,6.772432799999999,0.0,maternal,medium,0.0,2.0,SD
ENSDARG00000044182,12.3349072,109.06913,96.7342228,12.3349072,25.706972,109.06913,120.0,maternal,medium,4.0,3.0,SU post-ZGA
ENSDARG00000044183,0.8630048,25.5383,24.6752952,11.83326,17.830204,25.5383,120.0,maternal,medium,4.0,1.0,SU post-ZGA
ENSDARG00000044191,5.384424,17.125220000000002,11.740796000000003,10.05052,14.626740000000002,5.384424,3.0,maternal,medium,1.0,3.0,TU pre-ZGA
ENSDARG00000044194,1.0293097999999998,55.65316,54.6238502,1.5184194000000002,1.0293097999999998,21.36008,16.0,maternal,medium,3.0,1.0,SU ZGA
ENSDARG00000044199,0.0374188,80.23234,80.1949212,0.2197632,0.1263866,70.04566,96.0,maternal,medium,4.0,2.0,SU post-ZGA
ENSDARG00000044203,2.578126,29.8612046,27.2830786,9.228524000000002,20.519012,4.933347,2.25,maternal,medium,1.0,1.0,TU pre-ZGA
ENSDARG00000044204,0.0,7.83937,7.83937,0.0,0.0,7.83937,120.0,zygotic,low,,,
ENSDARG00000044216,0.045596,5.39633,5.350734,2.659934,1.503632,3.1792206,3.0,maternal,low,1.0,0.0,TU pre-ZGA
ENSDARG00000044225,25.91056,192.6656,166.75503999999998,58.65544,54.34122,29.840740000000004,2.25,maternal,medium,1.0,2.0,TU pre-ZGA
ENSDARG00000044241,0.832446,19.2591,18.426654,0.832446,1.7631629999999998,16.18674,72.0,maternal,medium,4.0,3.0,SU post-ZGA
ENSDARG00000044246,0.184704,2.326072,2.141368,0.509969,0.8289584,1.1940588,72.0,maternal,low,3.0,4.0,SU ZGA
ENSDARG00000044251,0.0347918,36.4307,36.3959082,0.0347918,0.0759162,13.183179999999998,8.0,maternal,medium,2.0,3.0,TU post-ZGA
ENSDARG00000044253,2.653298,11.886666,9.233368,2.653298,6.551054000000001,4.856406000000001,36.0,maternal,medium,3.0,2.0,SU ZGA
ENSDARG00000044254,0.1430994,28.286836000000005,28.143736600000004,0.1430994,1.0804374,20.309248,48.0,maternal,medium,4.0,0.0,SU post-ZGA
ENSDARG00000044255,11.0937876,46.3199666,35.226179,11.0937876,14.633129,14.8675554,3.0,maternal,medium,1.0,3.0,TU pre-ZGA
ENSDARG00000044261,0.0,76.14337600000002,76.14337600000002,0.0604158,0.062015,39.525562,30.0,maternal,medium,3.0,4.0,SU ZGA
ENSDARG00000044264,0.0,1.001972,1.001972,0.0,0.0,0.1972847999999999,96.0,zygotic,low,4.0,4.0,SU post-ZGA
ENSDARG00000044265,2.948788,112.0331,109.084312,11.417508,25.06638,3.618176000000001,3.0,maternal,medium,1.0,1.0,TU pre-ZGA
ENSDARG00000044267,56.21604,211.017,154.80096,171.99540000000002,131.2946,56.21604,6.0,maternal,medium,2.0,2.0,TU post-ZGA
ENSDARG00000044276,0.0,13.05326,13.05326,0.3377819999999999,0.0564282,13.05326,120.0,maternal,medium,4.0,4.0,SU post-ZGA
ENSDARG00000044278,0.0,3.390356,3.390356,0.0,0.0,3.390356,120.0,zygotic,low,4.0,2.0,SU post-ZGA
ENSDARG00000044279,0.0,0.1566678,0.1566678,0.0,0.0,0.0571396,96.0,zygotic,low,,,
ENSDARG00000044280,0.0,53.4687,53.4687,0.0,0.0,53.4687,120.0,zygotic,medium,4.0,4.0,SU post-ZGA
ENSDARG00000044281,12.4657484,83.0773726,70.61162420000001,24.20561,27.0191366,15.281042,3.0,maternal,medium,1.0,2.0,TU pre-ZGA
ENSDARG00000044282,7.3246184,52.46254,45.137921600000006,33.15718400000001,24.689856,9.2369422,2.25,maternal,medium,1.0,2.0,TU pre-ZGA
ENSDARG00000044290,0.0,2.1152358,2.1152358,0.256058,1.247296,0.0,3.0,maternal,low,1.0,1.0,TU pre-ZGA
ENSDARG00000044295,0.0,6.3762638,6.3762638,0.0362464,0.0338812,6.3762638,120.0,maternal,low,4.0,2.0,SU post-ZGA
ENSDARG00000044298,12.395840000000002,192.2878,179.89195999999998,160.8774,121.1974,12.395840000000002,3.0,maternal,medium,0.0,4.0,SD
ENSDARG00000044299,31.5131014,747.69032,716.1772186000001,747.69032,659.720758,31.5131014,0.0,maternal,medium,0.0,0.0,SD
ENSDARG00000044301,21.0697458,334.8053342,313.7355884,294.3360998,334.8053342,21.0697458,0.75,maternal,medium,0.0,3.0,SD
