GeneID,RMSLE,Spearman,NRMSE_range,MASE
ENSDARG00000101982,0.5815961956977844,0.6119711042311662,0.26329494,0.55201066
ENSDARG00000034300,0.20647059381008148,0.8142414860681115,0.06524154,0.16913691
ENSDARG00000034093,0.4034702777862549,0.6573787409700722,0.18161556,0.57071656
ENSDARG00000030129,0.49601489305496216,0.7543859649122806,0.28725797,0.57324207
ENSDARG00000062485,0.42418521642684937,0.6759545923632612,0.21047151,0.48046166
ENSDARG00000062341,0.18841591477394104,0.7394017882844927,0.13214861,0.23357189
ENSDARG00000079702,0.5142478346824646,-0.08565531475748193,0.3354205,0.81637454
ENSDARG00000061865,0.46194344758987427,0.8555211558307534,0.31747356,0.79973155
ENSDARG00000016238,0.642357587814331,0.6821465428276574,0.25815377,0.67317474
ENSDARG00000056753,0.33326455950737,0.7337461300309597,0.092812434,0.26006797
ENSDARG00000044328,0.3293106257915497,0.5933952528379773,0.19785601,0.56301993
ENSDARG00000087666,0.46587008237838745,0.8452012383900928,0.22503762,0.49433687
ENSDARG00000115051,0.375458300113678,-0.001042809563202447,0.29744312,0.9495445
ENSDARG00000026109,0.3597724139690399,0.7523219814241485,0.17974591,0.3414885
ENSDARG00000003398,0.42104166746139526,0.9525283797729618,0.26443112,0.54359347
ENSDARG00000078132,0.7402029633522034,0.6408668730650156,0.25626364,0.75327826
ENSDARG00000061509,0.5889045000076294,0.4220846233230134,0.24549216,0.81579375
ENSDARG00000035573,0.4909833073616028,0.05882352941176471,0.318306,0.9968433
ENSDARG00000062712,0.295334130525589,0.6897264729168231,0.24578834,0.5920288
ENSDARG00000055570,0.854738175868988,0.13725490196078433,0.35764,0.96989334
ENSDARG00000014373,0.675382137298584,0.9009287925696594,0.29768804,0.44440252
ENSDARG00000093000,0.4098244309425354,0.8186055071139208,0.16593409,0.34622028
ENSDARG00000005230,0.41757073998451233,0.19091847265221878,0.31452355,1.0135546
ENSDARG00000012899,0.3585900068283081,0.8493292053663571,0.18191138,0.5809047
ENSDARG00000021239,0.3698989152908325,0.04850361197110423,0.24512427,0.8562432
ENSDARG00000019130,0.15902850031852722,0.9788333777322579,0.083084844,0.19632532
ENSDARG00000012453,0.5042079091072083,0.5067079463364293,0.28727832,0.6788128
ENSDARG00000112451,0.5159313678741455,0.7461300309597524,0.261608,0.85048795
ENSDARG00000009629,0.4423503577709198,0.9091847265221877,0.27462286,0.6012255
ENSDARG00000102800,1.0072662830352783,-0.3663570691434469,0.39189878,0.99533594
ENSDARG00000074892,0.4395361840724945,0.8617131062951496,0.11612426,0.38234952
ENSDARG00000103494,0.3565627932548523,0.4117647058823529,0.29889855,0.85706985
ENSDARG00000116105,0.3493359088897705,0.3746130030959752,0.07411719,0.2405542
ENSDARG00000117142,0.6597199440002441,0.41589267285861714,0.29295242,0.83019114
ENSDARG00000075936,0.5820310711860657,-0.19711042311661509,0.28154606,1.008998
ENSDARG00000053480,0.2810479998588562,0.3148671536498156,0.032246366,0.07831434
ENSDARG00000093687,0.2838762402534485,0.8493292053663571,0.17499043,0.5383585
ENSDARG00000105317,0.42167341709136963,0.05318328772332479,0.27131927,0.8059778
ENSDARG00000060315,1.1149884462356567,0.12280701754385966,0.32411787,0.6953204
ENSDARG00000116485,0.24581949412822723,0.8493291583772095,0.20327643,0.61267585
ENSDARG00000045463,0.3705251216888428,0.7543859649122806,0.24358542,0.56382763
ENSDARG00000017246,0.15965358912944794,0.7254901960784313,0.08332921,0.15018629
ENSDARG00000105153,0.28142213821411133,0.4190927742020957,0.069099374,0.17774506
ENSDARG00000093478,0.611763596534729,-0.23632610939112486,0.36825272,0.90318704
ENSDARG00000076752,0.21185816824436188,0.9360165118679051,0.12767631,0.3211476
ENSDARG00000110308,0.3678317368030548,0.2455922752617552,0.2906563,0.99642694
ENSDARG00000088672,0.6047298312187195,0.6057791537667698,0.27918044,0.71038914
ENSDARG00000115326,0.17895947396755219,0.24871001031991744,0.22311385,0.97232
ENSDARG00000086980,0.43517133593559265,-0.34365325077399383,0.4010675,1.0611805
ENSDARG00000079388,0.14176513254642487,0.7812177502579979,0.054530784,0.094261415
ENSDARG00000032704,0.9269845485687256,-0.2280701754385965,0.3324245,0.830479
ENSDARG00000069857,0.5814540982246399,0.8782249742002064,0.2808515,0.728435
ENSDARG00000034256,0.4910939335823059,0.37048503611971106,0.34987387,0.8700797
ENSDARG00000086665,0.30534783005714417,0.915376676986584,0.09219214,0.26615041
ENSDARG00000077858,0.12122871726751328,0.7935780775970621,0.058815554,0.16243944
ENSDARG00000021669,0.43963339924812317,-0.16821465428276572,0.27136678,0.9406786
ENSDARG00000091595,0.8024055361747742,0.7481940144478844,0.42491925,0.79516774
ENSDARG00000037554,0.14523784816265106,0.884179760815722,0.15154333,0.46705133
ENSDARG00000110434,0.4982450306415558,0.08978328173374613,0.2403324,0.9801611
ENSDARG00000016505,0.17050795257091522,0.9457925886104938,0.12332175,0.29705846
ENSDARG00000062964,0.38841769099235535,0.8828085843471313,0.17593607,0.55201346
ENSDARG00000099003,0.3458990454673767,0.937532391330053,0.17775944,0.43563437
ENSDARG00000035023,0.2930169403553009,0.003095975232198142,0.18911798,0.79079753
ENSDARG00000037069,0.45261070132255554,-0.003095975232198142,0.26082426,0.85252666
ENSDARG00000052789,0.3395746052265167,0.6945304437564499,0.20811792,0.7155068
ENSDARG00000002748,0.4895644187927246,0.08565531475748193,0.32182172,1.017936
ENSDARG00000038802,0.28433433175086975,0.981424148606811,0.080153205,0.1955666
ENSDARG00000113084,0.49572283029556274,0.003095975232198142,0.32350585,0.8649982
ENSDARG00000111253,0.10202956944704056,0.8373760792515648,0.13200061,0.28703108
ENSDARG00000094216,0.39543548226356506,0.1879194881300326,0.30578613,0.89374876
ENSDARG00000067751,0.1892480105161667,0.8596491228070176,0.16986157,0.43076372
ENSDARG00000023988,0.30674540996551514,0.8390092879256965,0.21055138,0.68993115
