GeneID,beta_mean,delta_mean,sigma_y_mean,beta_std,delta_std,sigma_y_std
ENSDARG00000001909,0.0602,0.0135,0.337,0.0156,0.0101,0.0698
ENSDARG00000001910,0.274,0.00948,0.424,0.0551,0.00671,0.0864
ENSDARG00000001912,0.153,0.199,0.498,0.115,0.128,0.0847
ENSDARG00000001913,0.206,0.0276,0.479,0.0547,0.0148,0.0866
ENSDARG00000001929,0.245,0.135,0.582,0.185,0.0867,0.0974
ENSDARG00000001930,1.12,0.164,0.464,0.542,0.0654,0.0814
ENSDARG00000001933,0.0513,0.0187,0.268,0.014,0.0118,0.0553
ENSDARG00000001937,0.0901,0.0334,0.388,0.0277,0.0187,0.0714
ENSDARG00000001939,5.31,0.414,0.643,2.89,0.228,0.127
ENSDARG00000001940,2.19,0.0838,0.578,1.02,0.0222,0.098
ENSDARG00000001950,10.2,0.0453,1.91,8.12,0.0708,0.343
ENSDARG00000001953,0.764,0.0647,0.536,0.335,0.0486,0.0949
ENSDARG00000001968,0.233,0.171,0.652,0.228,0.147,0.11
ENSDARG00000001969,1.5,0.178,0.398,0.556,0.0432,0.071
ENSDARG00000001971,0.173,0.126,0.785,0.201,0.225,0.153
ENSDARG00000001975,0.237,0.0243,0.748,0.144,0.0404,0.148
ENSDARG00000001976,0.577,0.047,0.446,0.14,0.0196,0.0789
ENSDARG00000001993,0.662,0.195,1.15,0.69,0.29,0.204
ENSDARG00000001994,1.21,0.0223,1.17,0.586,0.0321,0.216
ENSDARG00000001999,0.865,0.179,0.797,0.377,0.0923,0.132
ENSDARG00000002002,1.58,0.392,0.7,0.982,0.257,0.124
ENSDARG00000002006,2.18,0.265,0.351,1.71,0.212,0.0673
ENSDARG00000002013,0.585,0.116,0.403,0.502,0.0945,0.0717
ENSDARG00000002016,3.34,0.0977,0.918,3.55,0.0848,0.148
ENSDARG00000002020,0.832,0.198,0.497,0.726,0.173,0.0881
ENSDARG00000002021,1.75,0.384,0.494,1.1,0.262,0.0899
ENSDARG00000002026,0.156,0.0128,0.438,0.0359,0.00839,0.0868
ENSDARG00000002031,0.675,0.0383,0.555,0.568,0.0199,0.0975
ENSDARG00000002037,0.485,0.228,0.722,0.457,0.228,0.122
ENSDARG00000002060,1.26,0.347,0.47,0.396,0.0588,0.0859
ENSDARG00000002071,0.348,0.0207,0.626,0.122,0.0169,0.117
ENSDARG00000002077,0.678,0.0902,0.393,0.295,0.0257,0.0695
ENSDARG00000002082,5.36,0.0385,0.371,4.14,0.0209,0.0692
ENSDARG00000002084,0.409,0.0231,0.756,0.131,0.0168,0.134
ENSDARG00000002097,0.0494,0.0743,0.171,0.0232,0.0503,0.0341
ENSDARG00000002127,9.41,0.434,0.387,2.03,0.0659,0.0713
