GeneID,beta_mean,delta_mean,sigma_y_mean,beta_std,delta_std,sigma_y_std
ENSDARG00000058992,3.74,0.159,1.27,1.79,0.0899,0.202
ENSDARG00000058993,1.72,0.118,0.539,1.63,0.103,0.0924
ENSDARG00000058994,0.03,0.0552,0.219,0.0248,0.0754,0.0482
ENSDARG00000058995,1.39,0.261,0.377,1.15,0.227,0.0709
ENSDARG00000058996,11.7,0.412,0.726,3.8,0.0832,0.124
ENSDARG00000059001,5.1,0.311,0.662,2.52,0.158,0.12
ENSDARG00000059003,0.77,0.416,0.675,0.361,0.14,0.115
ENSDARG00000059006,12.3,0.372,0.502,7.02,0.216,0.097
ENSDARG00000059015,0.203,0.113,0.439,0.094,0.0688,0.0772
ENSDARG00000059020,0.913,0.0789,0.6,0.733,0.0494,0.102
ENSDARG00000059026,0.0466,0.019,0.219,0.0117,0.0111,0.0459
ENSDARG00000059028,0.312,0.0563,0.245,0.184,0.025,0.0469
ENSDARG00000059029,0.115,0.0409,0.342,0.0301,0.0176,0.0632
ENSDARG00000059035,4.58,0.452,0.735,1.73,0.118,0.123
ENSDARG00000059039,0.104,0.052,0.292,0.0296,0.0229,0.054
ENSDARG00000059043,0.0314,0.0112,0.172,0.00645,0.00699,0.0394
ENSDARG00000059044,0.148,0.172,0.605,0.0866,0.0586,0.101
ENSDARG00000059046,3.04,0.213,0.506,2.37,0.162,0.0903
ENSDARG00000059048,4.64,0.224,0.256,1.18,0.066,0.0493
ENSDARG00000059049,0.46,0.0501,0.74,0.162,0.0282,0.123
ENSDARG00000059053,3.5,0.121,1.23,1.56,0.0705,0.192
ENSDARG00000059054,0.949,0.201,1.29,1.24,0.358,0.251
ENSDARG00000059056,0.116,0.143,0.339,0.0515,0.0763,0.0615
ENSDARG00000059057,4.39,0.295,1.24,3.48,0.272,0.197
ENSDARG00000059058,0.0337,0.085,0.266,0.032,0.127,0.0584
ENSDARG00000059059,12.3,0.624,0.348,4.29,0.228,0.0695
ENSDARG00000059060,0.285,0.0696,0.279,0.0781,0.0293,0.0522
ENSDARG00000059064,1.78,0.107,0.649,1.2,0.0583,0.108
ENSDARG00000059067,0.086,0.0771,0.366,0.101,0.134,0.0762
ENSDARG00000059070,20.7,0.203,0.491,5.69,0.0697,0.0868
ENSDARG00000059073,1.5,0.247,1.27,1.0,0.174,0.203
ENSDARG00000059075,10.0,0.283,0.754,4.51,0.135,0.135
ENSDARG00000059079,18.2,0.423,0.588,7.02,0.175,0.108
ENSDARG00000059081,0.183,0.231,0.664,0.13,0.159,0.116
ENSDARG00000059083,0.349,0.0422,0.502,0.0905,0.0187,0.0882
ENSDARG00000059090,0.0733,0.0192,0.31,0.0188,0.011,0.0628
ENSDARG00000059093,0.214,0.0502,0.593,0.139,0.0541,0.105
ENSDARG00000059097,7.61,0.272,0.308,2.37,0.0939,0.0583
ENSDARG00000059109,5.29,0.0966,0.641,1.44,0.0372,0.108
ENSDARG00000059116,0.605,0.183,0.4,0.533,0.18,0.0711
ENSDARG00000059121,0.0468,0.0771,0.228,0.0239,0.059,0.0445
ENSDARG00000059123,1.56,0.139,0.979,0.704,0.0823,0.158
ENSDARG00000059125,1.56,0.0939,0.437,0.774,0.0347,0.0769
ENSDARG00000059128,37.7,0.134,0.283,8.19,0.036,0.0515
ENSDARG00000059131,0.0515,0.0864,0.983,0.0447,0.0354,0.157
ENSDARG00000059150,1.77,0.137,0.211,0.463,0.0271,0.041
ENSDARG00000059163,1.95,0.481,1.58,2.11,0.618,0.262
ENSDARG00000059166,0.0711,0.0995,0.363,0.0725,0.139,0.0713
ENSDARG00000059175,1.23,0.169,0.576,0.396,0.0667,0.0989
ENSDARG00000059177,4.01,0.086,0.35,4.39,0.0885,0.0645
ENSDARG00000059202,0.454,0.0901,0.424,0.418,0.0987,0.0768
ENSDARG00000059209,0.529,0.22,0.681,0.255,0.0741,0.116
ENSDARG00000059212,16.6,0.511,0.648,9.15,0.292,0.127
ENSDARG00000059226,0.3,0.255,0.632,0.146,0.0728,0.107
ENSDARG00000059227,18.7,0.036,1.62,9.7,0.0322,0.265
ENSDARG00000059231,0.355,0.0955,0.823,0.157,0.0547,0.131
ENSDARG00000059233,0.165,0.145,0.468,0.137,0.114,0.0809
ENSDARG00000059234,16.2,0.519,0.424,8.96,0.293,0.0883
ENSDARG00000059235,0.0672,0.0347,0.213,0.0193,0.0179,0.0433
ENSDARG00000059236,0.0659,0.121,0.18,0.024,0.0545,0.0355
ENSDARG00000059244,1.7,0.114,0.877,1.46,0.123,0.141
ENSDARG00000059246,27.7,0.232,0.612,9.75,0.0949,0.106
ENSDARG00000059247,3.83,0.213,0.687,3.03,0.181,0.117
ENSDARG00000059252,1.61e-08,0.183,0.361,2e-08,0.0151,0.0653
ENSDARG00000059255,0.139,0.0251,0.534,0.0428,0.017,0.096
ENSDARG00000059256,0.124,0.0791,0.448,0.0549,0.0467,0.0785
ENSDARG00000059259,2.69,0.03,1.51,1.42,0.0297,0.266
ENSDARG00000059263,0.383,0.0734,0.812,0.188,0.0503,0.13
ENSDARG00000059267,0.325,0.0496,0.696,0.126,0.0313,0.118
ENSDARG00000059274,1.88,0.262,1.31,1.52,0.245,0.21
ENSDARG00000059276,0.594,0.062,0.986,0.274,0.0437,0.16
ENSDARG00000059279,8.03,0.0881,0.963,2.91,0.048,0.154
ENSDARG00000059280,0.84,0.0353,0.997,0.318,0.0239,0.164
ENSDARG00000059287,1.71,0.141,0.463,1.59,0.123,0.0801
ENSDARG00000059294,0.0479,0.0161,0.329,0.0195,0.0203,0.0709
ENSDARG00000059298,6.15,0.058,0.694,1.65,0.0247,0.115
ENSDARG00000059303,4.85,0.0556,0.316,1.68,0.00924,0.0592
ENSDARG00000059304,38.4,0.372,0.3,11.0,0.117,0.0574
ENSDARG00000059305,0.0511,0.0817,0.383,0.0511,0.14,0.0818
ENSDARG00000059308,1.11,0.0882,0.335,0.347,0.0116,0.0619
ENSDARG00000059311,0.341,0.0116,0.559,0.119,0.0146,0.115
ENSDARG00000059322,0.203,0.0548,0.265,0.0698,0.00891,0.0503
ENSDARG00000059323,42.1,0.248,0.487,29.7,0.174,0.0927
ENSDARG00000059327,4.44,0.18,1.02,1.97,0.0959,0.166
ENSDARG00000059333,2.22,0.117,0.843,0.812,0.057,0.138
ENSDARG00000059337,6.28,0.0652,0.802,6.74,0.0559,0.132
ENSDARG00000059340,0.0931,0.259,0.476,0.0867,0.236,0.0825
ENSDARG00000059342,0.0401,0.0682,0.355,0.0393,0.126,0.0783
ENSDARG00000059347,0.0137,0.187,0.521,0.0121,0.0379,0.0889
ENSDARG00000059348,0.39,0.276,0.852,0.262,0.198,0.138
ENSDARG00000059349,24.5,0.41,0.175,7.15,0.128,0.0367
ENSDARG00000059351,0.356,0.0225,0.421,0.0957,0.0127,0.0787
ENSDARG00000059354,6.59,0.404,0.565,4.71,0.296,0.109
ENSDARG00000059357,2.75,0.068,0.236,0.758,0.00957,0.0462
ENSDARG00000059360,13.4,0.0528,0.349,6.68,0.0153,0.0633
ENSDARG00000059361,0.205,0.419,0.429,0.143,0.275,0.0773
ENSDARG00000059362,0.472,0.0253,0.783,0.168,0.0205,0.139
ENSDARG00000059363,0.0237,0.0123,0.172,0.00664,0.0109,0.0408
ENSDARG00000059365,0.541,0.174,0.549,0.243,0.0975,0.0923
ENSDARG00000059367,3.87,0.0371,0.933,1.28,0.0219,0.152
ENSDARG00000059368,0.261,0.07,0.731,0.293,0.132,0.138
ENSDARG00000059369,0.0275,0.0661,0.194,0.0202,0.0775,0.0425
ENSDARG00000059370,0.0656,0.0173,0.404,0.0319,0.0288,0.088
ENSDARG00000059373,10.4,0.0948,0.529,10.9,0.087,0.0917
ENSDARG00000059387,0.0125,0.02,0.148,0.00705,0.0361,0.039
ENSDARG00000059388,0.471,0.0366,0.392,0.113,0.0165,0.0711
ENSDARG00000059391,0.462,0.0382,1.08,0.398,0.0856,0.219
ENSDARG00000059398,1.98,0.0351,0.201,0.663,0.00542,0.0405
ENSDARG00000059399,0.0239,0.0523,0.245,0.0236,0.0971,0.0585
ENSDARG00000059400,9.83,0.496,0.404,4.74,0.247,0.0815
ENSDARG00000059404,0.542,0.224,0.547,0.211,0.0534,0.0944
ENSDARG00000059406,6.65,0.366,0.242,0.947,0.0324,0.0474
ENSDARG00000059409,0.0504,0.128,0.253,0.0447,0.0997,0.0475
ENSDARG00000059411,0.182,0.0332,0.378,0.124,0.0442,0.0758
ENSDARG00000059412,0.0264,0.426,0.486,0.0244,0.0384,0.0856
ENSDARG00000059423,0.165,0.0117,0.471,0.0402,0.0085,0.0957
ENSDARG00000059424,0.164,0.102,0.415,0.15,0.111,0.0757
ENSDARG00000059432,0.0698,0.0207,0.193,0.015,0.00926,0.0404
ENSDARG00000059437,3.18,0.45,0.264,1.3,0.193,0.0544
ENSDARG00000059438,0.124,0.015,0.321,0.0274,0.00858,0.0642
ENSDARG00000059442,3.48,0.249,0.86,3.09,0.233,0.14
ENSDARG00000059455,0.721,0.159,0.547,0.672,0.148,0.0935
ENSDARG00000059459,1.44,0.15,0.524,0.415,0.0554,0.0897
ENSDARG00000059460,1.96,0.553,0.611,0.683,0.132,0.105
ENSDARG00000059461,0.777,0.0733,0.836,0.604,0.0394,0.135
ENSDARG00000059466,0.109,0.104,0.493,0.121,0.163,0.0992
ENSDARG00000059472,0.0694,0.0171,0.278,0.0167,0.00951,0.0558
ENSDARG00000059473,0.0576,0.0175,0.325,0.0305,0.0271,0.0713
ENSDARG00000059474,0.852,0.0834,0.613,0.842,0.0699,0.103
ENSDARG00000059475,2.28,0.401,0.703,1.43,0.253,0.128
ENSDARG00000059483,0.541,0.0555,0.574,0.157,0.026,0.0979
ENSDARG00000059485,0.0466,0.0251,0.318,0.0283,0.0374,0.0685
ENSDARG00000059498,1.3,0.13,0.626,0.436,0.0579,0.105
ENSDARG00000059503,0.352,0.411,0.527,0.146,0.0814,0.0945
ENSDARG00000059507,0.0677,0.0526,0.183,0.0273,0.0332,0.0371
ENSDARG00000059510,1.07,0.135,0.308,0.261,0.0443,0.0566
ENSDARG00000059523,0.0214,0.0119,0.189,0.00657,0.013,0.0456
ENSDARG00000059529,0.579,0.187,0.635,0.306,0.0769,0.109
ENSDARG00000059534,0.156,0.012,0.27,0.0241,0.0057,0.0548
ENSDARG00000059549,1.01,0.141,0.441,0.857,0.118,0.0779
ENSDARG00000059553,9.69,0.29,0.527,4.9,0.153,0.1
ENSDARG00000059556,0.386,0.0593,0.577,0.334,0.0377,0.0986
ENSDARG00000059557,0.191,0.109,0.636,0.18,0.0884,0.108
ENSDARG00000059558,0.0332,0.0378,0.184,0.0216,0.0384,0.0408
ENSDARG00000059567,0.163,0.0235,0.366,0.037,0.0116,0.0697
ENSDARG00000059574,0.353,0.206,0.53,0.187,0.129,0.0904
ENSDARG00000059575,3.12,0.53,0.555,1.58,0.271,0.109
ENSDARG00000059581,3.37,0.451,0.337,1.77,0.251,0.069
ENSDARG00000059582,1.91,0.437,0.486,0.667,0.118,0.0873
ENSDARG00000059583,2.07,0.17,0.29,0.77,0.0762,0.054
ENSDARG00000059587,0.823,0.146,0.702,0.745,0.131,0.117
ENSDARG00000059596,10.4,0.513,0.491,4.3,0.224,0.0961
ENSDARG00000059600,1.38,0.223,0.59,0.666,0.0877,0.102
ENSDARG00000059601,0.26,0.00824,0.401,0.0459,0.00521,0.0815
ENSDARG00000059604,3.36,0.204,0.566,1.57,0.0701,0.0987
ENSDARG00000059606,3.15,0.216,0.621,1.03,0.083,0.108
ENSDARG00000059610,0.303,0.00932,0.339,0.0478,0.00528,0.0682
ENSDARG00000059613,4.63,0.423,0.428,1.67,0.168,0.0803
ENSDARG00000059616,0.16,0.113,0.563,0.13,0.129,0.101
ENSDARG00000059629,1.17,0.0955,0.471,0.875,0.0809,0.0814
ENSDARG00000059630,1.53,0.172,0.366,0.423,0.0301,0.0668
ENSDARG00000059634,6.47,0.568,0.449,2.78,0.223,0.0895
ENSDARG00000059636,0.248,0.199,0.647,0.224,0.174,0.111
ENSDARG00000059642,1.48,0.322,0.457,0.458,0.0696,0.0821
ENSDARG00000059646,4.67,0.0968,0.252,2.77,0.0497,0.047
ENSDARG00000059651,0.031,0.025,0.189,0.00827,0.0125,0.0395
ENSDARG00000059653,7.3,0.263,0.471,4.3,0.154,0.0899
ENSDARG00000059654,59.8,0.181,0.418,12.7,0.0492,0.0743
ENSDARG00000059657,0.423,0.155,0.424,0.219,0.0585,0.0757
ENSDARG00000059658,0.366,0.165,0.562,0.184,0.0512,0.0976
ENSDARG00000059672,0.45,0.0814,0.528,0.315,0.0438,0.0903
ENSDARG00000059680,53.4,0.353,0.72,26.2,0.181,0.132
ENSDARG00000059682,0.39,0.493,0.631,0.262,0.322,0.109
ENSDARG00000059689,0.168,0.218,0.848,0.108,0.0678,0.14
ENSDARG00000059690,0.134,0.0157,0.389,0.0368,0.0105,0.0784
ENSDARG00000059693,0.297,0.0533,0.461,0.0804,0.0227,0.0806
ENSDARG00000059695,0.0563,0.0459,0.168,0.0127,0.0155,0.0342
ENSDARG00000059699,0.122,0.0784,0.307,0.0638,0.0597,0.0575
ENSDARG00000059700,0.743,0.261,0.861,0.566,0.175,0.14
ENSDARG00000059701,4.74,0.335,0.21,0.626,0.0294,0.0415
ENSDARG00000059705,0.0512,0.222,0.307,0.0453,0.214,0.0563
ENSDARG00000059707,0.609,0.141,0.595,0.479,0.125,0.0991
ENSDARG00000059711,0.0786,0.0356,0.494,0.0706,0.017,0.0887
ENSDARG00000059712,0.427,0.21,0.938,0.393,0.17,0.159
ENSDARG00000059714,0.0805,0.0512,0.232,0.0239,0.0234,0.0453
ENSDARG00000059719,0.0845,0.0128,0.25,0.0152,0.00665,0.0516
ENSDARG00000059722,1.26,0.149,0.58,1.06,0.134,0.0971
ENSDARG00000059725,35.8,0.181,0.452,25.7,0.127,0.0829
ENSDARG00000059729,0.226,0.0266,0.441,0.0744,0.0191,0.0829
ENSDARG00000059738,1.71,0.125,0.419,1.11,0.0963,0.0729
ENSDARG00000059743,0.158,0.0588,0.422,0.0921,0.0567,0.0783
ENSDARG00000059746,1.35,0.0539,0.861,0.44,0.0277,0.142
ENSDARG00000059747,0.132,0.0621,0.395,0.0507,0.0371,0.0709
ENSDARG00000059751,0.581,0.214,0.974,0.334,0.132,0.161
ENSDARG00000059760,1.42,0.248,0.525,0.618,0.0881,0.0924
ENSDARG00000059763,0.156,0.0317,0.64,0.11,0.0561,0.136
ENSDARG00000059768,2.21,0.0379,0.313,0.63,0.0169,0.0591
ENSDARG00000059770,1.3,0.0765,0.329,0.243,0.021,0.0604
ENSDARG00000059773,0.0572,0.016,0.385,0.0296,0.0339,0.0835
ENSDARG00000059774,3.13,0.623,0.96,1.77,0.338,0.164
ENSDARG00000059775,0.388,0.0202,0.908,0.193,0.0333,0.178
ENSDARG00000059781,0.0421,0.0189,0.37,0.0245,0.0391,0.0843
ENSDARG00000059789,0.435,0.154,0.558,0.401,0.171,0.0961
ENSDARG00000059792,0.19,0.189,0.852,0.163,0.15,0.138
ENSDARG00000059794,9.35,0.487,0.629,5.01,0.271,0.119
ENSDARG00000059798,0.137,0.365,0.368,0.0622,0.0501,0.0674
ENSDARG00000059801,1.41,0.42,0.257,0.506,0.162,0.0528
ENSDARG00000059804,1.38,0.168,0.441,0.712,0.0739,0.0774
ENSDARG00000059805,0.679,0.576,0.641,0.311,0.147,0.119
ENSDARG00000059806,0.63,0.0672,0.375,0.567,0.0511,0.0684
ENSDARG00000059809,13.4,0.411,0.514,4.86,0.165,0.0947
ENSDARG00000059811,0.693,0.189,0.406,0.315,0.0711,0.073
ENSDARG00000059812,1.34,0.0666,0.345,0.758,0.0271,0.0624
ENSDARG00000059815,0.134,0.0495,0.633,0.134,0.102,0.131
ENSDARG00000059816,2.56,0.0818,0.384,2.39,0.0695,0.0682
ENSDARG00000059817,0.766,0.209,0.68,0.422,0.0973,0.114
ENSDARG00000059818,0.0449,0.0245,0.385,0.0396,0.0674,0.088
ENSDARG00000059824,0.165,0.0461,0.499,0.0532,0.0255,0.0874
ENSDARG00000059826,0.23,0.0571,0.49,0.0899,0.0349,0.0866
ENSDARG00000059832,1.22,0.213,1.01,1.19,0.231,0.16
ENSDARG00000059835,0.985,0.0756,0.257,0.4,0.0247,0.0485
ENSDARG00000059836,0.634,0.0301,0.582,0.223,0.0245,0.107
ENSDARG00000059841,19.4,0.426,0.361,6.16,0.15,0.0678
ENSDARG00000059843,0.958,0.089,0.464,0.573,0.0427,0.0811
ENSDARG00000059846,0.171,0.302,0.442,0.136,0.245,0.0799
ENSDARG00000059850,0.064,0.18,0.519,0.0406,0.0393,0.0897
ENSDARG00000059853,2.02,0.0983,0.23,0.432,0.0127,0.0448
ENSDARG00000059854,0.0544,0.0193,0.432,0.0311,0.0406,0.0944
ENSDARG00000059855,0.0477,0.119,0.236,0.0248,0.0752,0.0447
ENSDARG00000059856,1.08,0.366,0.597,0.44,0.113,0.105
ENSDARG00000059857,0.0865,0.0302,0.358,0.0653,0.00995,0.0673
ENSDARG00000059858,0.0421,0.0905,0.504,0.0383,0.0568,0.0863
ENSDARG00000059866,0.738,0.0625,0.242,0.185,0.00765,0.0468
ENSDARG00000059870,1.4,0.13,0.33,0.441,0.0244,0.0609
ENSDARG00000059871,3.05,0.336,0.436,1.36,0.133,0.0793
ENSDARG00000059883,0.0335,0.0168,0.204,0.00983,0.0117,0.045
ENSDARG00000059885,0.0803,0.0469,0.391,0.0606,0.061,0.079
ENSDARG00000059886,5.78,0.556,0.455,1.98,0.166,0.0832
ENSDARG00000059887,1.17,0.118,0.483,1.12,0.102,0.083
ENSDARG00000059888,0.407,0.374,0.669,0.185,0.0642,0.119
ENSDARG00000059891,0.111,0.163,0.613,0.0846,0.0883,0.103
ENSDARG00000059897,0.6,0.127,0.652,0.32,0.0938,0.108
ENSDARG00000059900,0.354,0.149,0.839,0.207,0.0548,0.137
ENSDARG00000059902,1.43,0.11,0.456,1.24,0.0877,0.0797
ENSDARG00000059903,0.11,0.0127,0.396,0.0278,0.0093,0.0801
ENSDARG00000059906,51.1,0.396,0.519,17.1,0.145,0.0947
ENSDARG00000059908,23.8,0.243,0.822,15.3,0.153,0.148
ENSDARG00000059911,1.86,0.23,0.466,1.11,0.153,0.0847
ENSDARG00000059914,0.0339,0.0276,0.235,0.0117,0.0179,0.0481
ENSDARG00000059916,0.643,0.374,0.286,0.301,0.196,0.0563
ENSDARG00000059917,0.112,0.196,0.667,0.0809,0.0622,0.115
ENSDARG00000059919,2.94,0.412,0.487,1.51,0.228,0.0935
ENSDARG00000059923,0.0767,0.0257,0.407,0.0505,0.0412,0.0881
ENSDARG00000059925,3.77,0.481,0.473,1.8,0.239,0.0924
ENSDARG00000059931,0.268,0.117,0.354,0.0879,0.048,0.0647
ENSDARG00000059933,2.8,0.0359,0.424,0.798,0.0188,0.0777
ENSDARG00000059936,1.46,0.39,0.53,0.99,0.259,0.103
ENSDARG00000059939,0.0649,0.0142,0.362,0.0269,0.0196,0.0781
ENSDARG00000059944,0.0267,0.0626,0.222,0.0235,0.0925,0.0487
ENSDARG00000059945,0.341,0.0242,0.927,0.203,0.0477,0.184
ENSDARG00000059948,0.12,0.078,0.364,0.0409,0.0361,0.0663
ENSDARG00000059950,0.872,0.0577,0.724,0.284,0.0309,0.122
ENSDARG00000059951,0.0894,0.574,0.284,0.057,0.0348,0.0552
ENSDARG00000059956,0.563,0.526,0.842,0.331,0.181,0.139
ENSDARG00000059960,1.2,0.36,0.98,0.765,0.202,0.159
ENSDARG00000059961,5.2,0.393,0.415,1.68,0.141,0.0784
ENSDARG00000059963,0.118,0.0622,0.26,0.0526,0.0184,0.0491
ENSDARG00000059965,1.3,0.141,0.829,1.06,0.124,0.136
ENSDARG00000059972,1.73,0.387,0.86,1.12,0.262,0.144
ENSDARG00000059978,0.58,0.258,1.22,0.656,0.383,0.213
ENSDARG00000059982,0.687,0.22,0.495,0.269,0.0441,0.0896
ENSDARG00000059983,1.75,0.849,0.411,0.397,0.0856,0.078
ENSDARG00000059993,0.416,0.0447,0.409,0.0997,0.0188,0.0738
ENSDARG00000059997,0.0322,0.00918,0.14,0.00479,0.00452,0.0323
ENSDARG00000060001,2.87,0.266,0.251,0.567,0.0363,0.0482
ENSDARG00000060002,0.767,0.157,0.319,0.18,0.0461,0.0598
ENSDARG00000060004,12.4,0.131,0.993,4.77,0.0641,0.162
ENSDARG00000060005,1.63,0.22,0.784,0.925,0.127,0.138
ENSDARG00000060006,1.72,0.192,0.764,0.884,0.0778,0.125
ENSDARG00000060007,0.107,0.0774,0.393,0.0411,0.0399,0.0696
ENSDARG00000060008,0.0671,0.0218,0.27,0.0179,0.0127,0.0548
ENSDARG00000060010,0.392,0.077,0.584,0.153,0.0417,0.101
ENSDARG00000060012,0.0867,0.037,0.267,0.0226,0.0165,0.052
ENSDARG00000060016,1.4,0.2,0.282,0.578,0.0949,0.0531
ENSDARG00000060018,0.252,0.0246,0.766,0.172,0.0477,0.153
ENSDARG00000060021,0.243,0.0365,0.34,0.272,0.0292,0.0658
ENSDARG00000060023,0.493,0.0493,0.496,0.555,0.0437,0.087
ENSDARG00000060025,0.0281,0.0313,0.195,0.0176,0.0444,0.0452
ENSDARG00000060027,5.62,0.285,0.769,2.85,0.149,0.141
ENSDARG00000060029,0.741,0.135,0.551,0.635,0.116,0.0937
ENSDARG00000060030,1.75,0.146,0.638,1.63,0.125,0.109
ENSDARG00000060034,0.307,0.0697,0.493,0.0954,0.0318,0.0852
ENSDARG00000060036,12.4,0.113,0.319,9.26,0.0833,0.0589
ENSDARG00000060041,0.18,0.0282,0.345,0.105,0.00508,0.0659
ENSDARG00000060051,0.04,0.0365,0.364,0.0352,0.0775,0.0847
ENSDARG00000060054,13.6,0.546,0.54,5.8,0.24,0.104
ENSDARG00000060058,0.9,0.163,0.807,0.657,0.109,0.131
ENSDARG00000060065,43.9,0.329,0.527,26.0,0.194,0.1
ENSDARG00000060068,0.593,0.0456,0.404,0.627,0.037,0.0746
ENSDARG00000060069,0.671,0.0995,0.152,0.174,0.0296,0.0309
ENSDARG00000060070,0.294,0.0848,0.413,0.128,0.05,0.0723
ENSDARG00000060071,1.22,0.0833,0.591,0.899,0.049,0.1
ENSDARG00000060072,0.0592,0.0112,0.264,0.0161,0.0116,0.0591
ENSDARG00000060081,0.0244,0.0132,0.211,0.00797,0.0133,0.0487
ENSDARG00000060085,0.0524,0.0137,0.278,0.0153,0.0124,0.0595
ENSDARG00000060089,1.8,0.0907,0.679,1.69,0.0742,0.112
ENSDARG00000060092,0.296,0.185,0.725,0.264,0.158,0.119
ENSDARG00000060093,1.87,0.493,0.576,0.612,0.112,0.101
ENSDARG00000060094,0.0967,0.0205,0.271,0.0223,0.0105,0.0534
ENSDARG00000060096,0.314,0.138,0.428,0.282,0.117,0.0746
ENSDARG00000060101,6.72,0.382,0.312,3.32,0.2,0.0623
ENSDARG00000060102,5.16,0.58,0.709,1.68,0.13,0.123
ENSDARG00000060103,0.394,0.286,0.48,0.281,0.214,0.0835
ENSDARG00000060106,0.208,0.0726,0.495,0.0681,0.0322,0.0865
ENSDARG00000060109,0.421,0.048,0.601,0.375,0.0283,0.104
ENSDARG00000060112,0.762,0.629,0.823,0.365,0.135,0.137
ENSDARG00000060113,5.83,0.172,0.296,1.22,0.0202,0.0555
ENSDARG00000060115,3.35,0.0634,0.803,1.27,0.0333,0.132
ENSDARG00000060116,0.0407,0.0322,0.321,0.0325,0.0642,0.0737
ENSDARG00000060120,3.48,0.406,0.498,2.44,0.304,0.0935
ENSDARG00000060123,0.914,0.237,0.733,0.642,0.168,0.122
ENSDARG00000060124,0.0584,0.018,0.354,0.0278,0.0273,0.0766
ENSDARG00000060126,0.182,0.0294,0.224,0.0331,0.0103,0.0443
ENSDARG00000060127,0.145,0.0686,0.397,0.0502,0.0337,0.072
ENSDARG00000060130,0.0214,0.0209,0.231,0.0119,0.0377,0.0537
ENSDARG00000060148,0.0448,0.0108,0.165,0.00798,0.00585,0.037
ENSDARG00000060149,0.112,0.0199,0.471,0.0362,0.0151,0.0901
ENSDARG00000060150,12.1,0.211,0.701,9.38,0.157,0.127
ENSDARG00000060152,0.319,0.0573,0.381,0.0996,0.0296,0.0685
ENSDARG00000060153,0.5,0.0632,0.341,0.141,0.0262,0.0625
ENSDARG00000060165,0.323,0.284,0.342,0.198,0.181,0.0661
ENSDARG00000060168,1.25,0.205,0.753,1.11,0.166,0.131
ENSDARG00000060169,0.113,0.0501,0.581,0.0826,0.0203,0.0996
ENSDARG00000060176,0.818,0.155,0.469,0.754,0.133,0.0854
ENSDARG00000060177,0.404,0.163,0.602,0.39,0.146,0.103
ENSDARG00000060184,1.04,0.088,0.583,0.336,0.0395,0.1
ENSDARG00000060192,0.324,0.151,0.679,0.18,0.052,0.114
ENSDARG00000060196,0.794,0.25,0.356,0.527,0.185,0.0665
ENSDARG00000060197,1.09,0.189,0.464,0.378,0.0435,0.0819
ENSDARG00000060199,27.4,0.601,0.29,9.6,0.193,0.0598
ENSDARG00000060207,1.1,0.0809,0.774,1.08,0.0627,0.126
ENSDARG00000060210,0.301,0.0916,0.642,0.269,0.068,0.107
ENSDARG00000060215,1.35,0.188,0.215,0.221,0.0185,0.0421
ENSDARG00000060222,0.298,0.0135,0.4,0.0549,0.00726,0.0768
ENSDARG00000060235,0.652,0.326,0.41,0.294,0.158,0.0762
ENSDARG00000060236,0.125,0.0639,0.355,0.0773,0.063,0.0675
ENSDARG00000060238,4.41,0.32,0.537,1.28,0.0615,0.0947
ENSDARG00000060243,0.12,0.0133,0.345,0.0257,0.00788,0.0691
ENSDARG00000060246,0.512,0.0957,0.318,0.159,0.0421,0.0588
ENSDARG00000060248,0.183,0.493,0.653,0.114,0.0635,0.113
ENSDARG00000060249,2.57,0.178,0.406,1.21,0.0693,0.0734
ENSDARG00000060252,1.53,0.115,0.585,1.28,0.102,0.0991
ENSDARG00000060253,0.0806,0.0741,0.269,0.0276,0.0345,0.0504
ENSDARG00000060256,1.45,0.425,0.472,0.407,0.066,0.0868
ENSDARG00000060257,8.79,0.419,0.536,4.15,0.213,0.1
ENSDARG00000060259,0.133,0.141,0.759,0.103,0.0816,0.125
ENSDARG00000060263,0.0781,0.0218,0.393,0.0238,0.015,0.0755
ENSDARG00000060280,0.915,0.781,0.416,0.543,0.439,0.0806
ENSDARG00000060282,10.4,0.451,0.429,4.39,0.172,0.0843
ENSDARG00000060288,9.64,0.517,0.297,2.02,0.0835,0.0557
ENSDARG00000060297,3.04,0.226,0.607,2.38,0.176,0.108
ENSDARG00000060298,2.55,0.659,0.692,0.888,0.12,0.13
ENSDARG00000060303,0.0704,0.0319,0.531,0.0639,0.0816,0.115
ENSDARG00000060306,1.21,0.0678,0.518,0.71,0.028,0.09
ENSDARG00000060308,0.34,0.123,0.41,0.179,0.0387,0.0732
ENSDARG00000060309,0.486,0.134,0.635,0.402,0.121,0.106
ENSDARG00000060312,1.55,0.258,0.669,0.642,0.0567,0.116
ENSDARG00000060315,3.07,0.199,1.08,1.44,0.107,0.176
ENSDARG00000060316,6.78,0.541,0.938,2.62,0.125,0.153
ENSDARG00000060319,0.625,0.227,0.703,0.312,0.13,0.12
ENSDARG00000060320,9.01,0.45,0.653,4.11,0.212,0.123
ENSDARG00000060322,0.0545,0.247,0.378,0.048,0.21,0.0682
ENSDARG00000060323,2.87,0.358,0.987,1.84,0.227,0.179
ENSDARG00000060326,0.0525,0.0134,0.358,0.0212,0.0204,0.0793
ENSDARG00000060330,0.0322,0.00927,0.22,0.00845,0.00977,0.0518
ENSDARG00000060338,0.995,0.398,0.618,0.388,0.0895,0.11
