ensembl_gene_id,supercluster,subcluster
ENSDARG00000003091,2,1
ENSDARG00000003109,1,1
ENSDARG00000003109,1,0
ENSDARG00000003113,3,0
ENSDARG00000003127,2,1
ENSDARG00000003127,2,1
ENSDARG00000003142,3,1
ENSDARG00000003144,2,0
ENSDARG00000003146,3,0
ENSDARG00000003151,0,1
ENSDARG00000003153,0,0
ENSDARG00000003157,0,1
ENSDARG00000003165,1,1
ENSDARG00000003165,1,1
ENSDARG00000003167,2,0
ENSDARG00000003167,2,2
ENSDARG00000003169,2,0
ENSDARG00000003169,2,0
ENSDARG00000003175,0,1
ENSDARG00000003181,1,1
ENSDARG00000003189,1,1
ENSDARG00000003189,1,1
ENSDARG00000003197,2,0
ENSDARG00000003197,2,2
ENSDARG00000003200,0,1
ENSDARG00000003203,3,0
ENSDARG00000003205,2,1
ENSDARG00000003205,2,1
ENSDARG00000003206,1,0
ENSDARG00000003206,1,2
ENSDARG00000003207,2,0
ENSDARG00000003207,2,2
ENSDARG00000003208,1,1
ENSDARG00000003208,1,1
ENSDARG00000003210,3,0
ENSDARG00000003213,0,1
ENSDARG00000003213,0,1
ENSDARG00000003216,1,1
ENSDARG00000003216,1,0
ENSDARG00000003217,0,1
ENSDARG00000003217,0,1
ENSDARG00000003219,1,0
ENSDARG00000003229,2,1
ENSDARG00000003235,0,1
ENSDARG00000003244,2,1
ENSDARG00000003244,2,1
ENSDARG00000003250,2,1
ENSDARG00000003251,2,0
ENSDARG00000003257,1,1
ENSDARG00000003257,1,1
ENSDARG00000003259,3,0
ENSDARG00000003270,2,0
ENSDARG00000003270,2,2
ENSDARG00000003287,0,0
ENSDARG00000003287,0,0
ENSDARG00000003290,3,0
ENSDARG00000003293,1,1
ENSDARG00000003293,1,1
ENSDARG00000003307,0,-1
ENSDARG00000003308,1,0
ENSDARG00000003308,1,2
ENSDARG00000003311,3,0
ENSDARG00000003320,3,1
ENSDARG00000003326,3,1
ENSDARG00000003328,2,1
ENSDARG00000003344,0,0
ENSDARG00000003344,0,0
ENSDARG00000003375,1,1
ENSDARG00000003375,1,1
ENSDARG00000003380,3,0
ENSDARG00000003381,3,1
ENSDARG00000003382,2,0
ENSDARG00000003382,2,1
ENSDARG00000003395,1,0
ENSDARG00000003395,1,2
ENSDARG00000003398,2,1
ENSDARG00000003398,2,1
ENSDARG00000003399,0,0
ENSDARG00000003403,3,1
ENSDARG00000003414,1,1
ENSDARG00000003414,1,1
ENSDARG00000003420,1,1
ENSDARG00000003421,2,1
ENSDARG00000003444,1,1
ENSDARG00000003444,1,1
ENSDARG00000003446,2,1
ENSDARG00000003449,2,0
ENSDARG00000003462,2,1
ENSDARG00000003469,1,1
ENSDARG00000003469,1,1
ENSDARG00000003475,3,0
ENSDARG00000003486,0,1
ENSDARG00000003486,0,1
ENSDARG00000003487,0,0
ENSDARG00000003495,3,1
