GeneID,RMSLE,Spearman,NRMSE_range,MASE
ENSDARG00000016343,0.5614722371101379,0.68080785561986,0.24931657,0.57437307
ENSDARG00000112785,0.6222044229507446,0.12899896800825592,0.30926532,0.80404997
ENSDARG00000041492,0.10593189299106598,0.8079762732230356,0.08965349,0.14032945
ENSDARG00000110474,0.33223414421081543,0.8183694530443757,0.16749924,0.32487234
ENSDARG00000060008,0.23201675713062286,0.8658410732714137,0.17347734,0.41270712
ENSDARG00000057143,1.4488030672073364,0.17853457172342618,0.29070675,0.8599979
ENSDARG00000052567,0.27591264247894287,0.7585139318885449,0.14466465,0.33982208
ENSDARG00000079241,0.3676582872867584,0.6821465428276574,0.13519688,0.2561611
ENSDARG00000010231,0.3093702495098114,0.7697198971731559,0.10538885,0.29072005
ENSDARG00000074052,0.29694196581840515,0.5662455928189286,0.35774168,0.71930844
ENSDARG00000116680,0.6283029317855835,0.564499484004128,0.3057097,0.8255125
ENSDARG00000055999,0.31540030241012573,0.6615067079463364,0.15409699,0.48893252
ENSDARG00000011026,0.3231561481952667,0.11455108359133126,0.23975769,0.9538002
ENSDARG00000070401,0.6847770810127258,0.21199631692072865,0.26718393,0.8553996
ENSDARG00000102963,0.8577946424484253,-0.6078431372549019,0.3968692,1.1103405
ENSDARG00000105669,0.8348236680030823,-0.4406604747162023,0.3192987,1.085078
ENSDARG00000117142,0.536780059337616,0.6718266253869969,0.2600315,0.75723666
ENSDARG00000041449,0.18422679603099823,0.931337243369722,0.1133275,0.30247957
ENSDARG00000051890,1.9555336236953735,0.10629514963880288,0.3671205,0.77733666
ENSDARG00000054199,0.4507692754268646,0.9195046439628484,0.24341345,0.65139145
ENSDARG00000088082,0.1274891495704651,0.8430938280630818,0.171539,0.57906264
ENSDARG00000021443,0.29140087962150574,0.9896800825593396,0.12510054,0.37423775
ENSDARG00000113123,0.30645987391471863,0.5603715170278638,0.28359973,0.8392671
ENSDARG00000028478,0.4166945815086365,0.8463158360181564,0.124382466,0.37279177
ENSDARG00000067796,0.49392467737197876,0.7791537667698658,0.20630996,0.67103946
ENSDARG00000037675,0.4120466113090515,-0.20743034055727552,0.31924266,1.2642492
ENSDARG00000100653,0.858730673789978,0.11357771260606368,0.37927943,0.78987134
ENSDARG00000020964,1.0132893323898315,-0.6594427244582043,0.34433934,0.9237783
ENSDARG00000039429,0.42041587829589844,-0.005159958720330237,0.23544237,1.0339607
ENSDARG00000075706,0.2626509964466095,0.7883923475088928,0.079109475,0.20075874
ENSDARG00000087421,0.17170770466327667,0.6491228070175438,0.12433295,0.42069355
ENSDARG00000104555,0.3111601173877716,0.7337461300309597,0.21279116,0.5448034
ENSDARG00000038271,0.3291999399662018,0.5851393188854489,0.17634223,0.33215073
ENSDARG00000013685,0.27278733253479004,0.946227463329106,0.15286155,0.5062913
ENSDARG00000076650,0.4120939075946808,-0.12074303405572755,0.35182658,1.1431724
ENSDARG00000052073,0.3373638987541199,0.7234262125902993,0.212031,0.43095693
ENSDARG00000061099,0.20456692576408386,0.9711042311661506,0.089193754,0.2130998
ENSDARG00000102717,0.2092852145433426,0.717234262125903,0.058996435,0.094099656
ENSDARG00000088078,0.2238980233669281,0.17440660474716205,0.29974186,0.8506401
ENSDARG00000001898,0.30656710267066956,0.8596491228070176,0.17988697,0.37633476
ENSDARG00000099743,0.61368727684021,-0.3168214654282766,0.33999327,1.0879406
ENSDARG00000095911,0.24274055659770966,0.6028174029152173,0.095274754,0.31710905
ENSDARG00000114225,0.5617703199386597,-0.2335508007190763,0.29848805,0.77931875
ENSDARG00000110806,0.22900983691215515,0.2393815101631012,0.12952363,0.31564394
ENSDARG00000044404,0.4576896131038666,0.08359133126934985,0.26071227,0.83103347
ENSDARG00000097483,0.3179796040058136,0.9014644078752998,0.16070965,0.37850177
ENSDARG00000070780,0.40952497720718384,0.7559958289885297,0.087605596,0.25640556
ENSDARG00000110184,1.021987795829773,-0.1701267697256032,0.27325657,0.72139245
ENSDARG00000051873,0.3896940052509308,0.91720337310947,0.17423384,0.44480413
ENSDARG00000101118,0.28861331939697266,0.7688338493292053,0.13753556,0.5115786
ENSDARG00000079000,0.4580271244049072,0.41589267285861714,0.3272136,0.80549574
ENSDARG00000074403,0.2522018849849701,0.7461300309597524,0.20497899,0.74276835
ENSDARG00000114357,0.5378526449203491,0.9009426641834831,0.27573776,0.73456365
ENSDARG00000051891,0.2028767466545105,0.7708978328173374,0.18472984,0.6307308
ENSDARG00000028321,1.1921910047531128,-0.7543859649122806,0.3716444,1.0212336
ENSDARG00000018010,0.7384202480316162,0.46955624355005166,0.28756818,0.72524315
ENSDARG00000110193,0.11298666149377823,0.7581225524481789,0.17874868,0.31606543
ENSDARG00000110357,0.27369800209999084,0.1455108359133127,0.27537173,1.0205543
ENSDARG00000102249,0.5455787181854248,-0.17234262125902994,0.35811588,1.0326874
ENSDARG00000043857,0.3720149099826813,-0.021671826625386997,0.25153953,0.9539103
ENSDARG00000070470,0.5332579016685486,0.543859649122807,0.26034293,0.6074559
ENSDARG00000101560,0.5288993120193481,0.5521155830753354,0.2595632,0.6821356
ENSDARG00000068143,1.093385100364685,-0.36016511867905054,0.40157947,1.0412779
ENSDARG00000054124,0.49434226751327515,0.6856938706623398,0.2845003,0.80624586
ENSDARG00000067795,0.2850739359855652,0.32507739938080493,0.23413417,0.8412659
ENSDARG00000088630,0.22870346903800964,0.7316821465428276,0.16248766,0.39562976
ENSDARG00000015156,0.38149431347846985,0.8534571723426212,0.1527317,0.4364454
ENSDARG00000111228,0.35225018858909607,0.6429308565531475,0.18181545,0.4484837
ENSDARG00000114578,0.7905552983283997,0.2198142414860681,0.2642991,0.8712869
ENSDARG00000034207,0.5797189474105835,0.6842105263157895,0.26262945,0.6323795
ENSDARG00000101653,0.17885717749595642,0.8924527878175067,0.21333402,0.66092724
ENSDARG00000113892,0.9665423631668091,0.7337461300309597,0.31201565,0.6729679
ENSDARG00000115762,0.19507017731666565,0.8926728586171312,0.1316914,0.35796842
ENSDARG00000037895,0.21663394570350647,0.7729618163054695,0.14002009,0.28900594
ENSDARG00000076713,0.6881399750709534,0.12693498452012383,0.3162524,0.9317294
ENSDARG00000057007,0.35049667954444885,0.7048503611971104,0.15597871,0.48521802
ENSDARG00000100626,0.406253844499588,0.7289349988450419,0.2867073,0.77679944
ENSDARG00000036338,0.34904465079307556,0.8513931888544891,0.1973541,0.5163859
ENSDARG00000102610,0.6185522079467773,0.9091847265221877,0.3048209,0.5665819
ENSDARG00000111300,0.14425906538963318,0.8316048753150241,0.04859226,0.09878794
ENSDARG00000062753,1.0349887609481812,0.12074303405572755,0.37972522,0.74889916
ENSDARG00000063194,0.49386852979660034,-0.3766769865841073,0.35326007,1.2211233
ENSDARG00000056594,0.9459850788116455,0.37048503611971106,0.27394113,0.8194508
ENSDARG00000093159,0.07418100535869598,0.8734481029414924,0.08817098,0.19709295
