GeneID,beta_mean,delta_m_mean,delta_z_mean,sigma_y_mean,t_zga_mean,beta_std,delta_m_std,delta_z_std,sigma_y_std,t_zga_std
ENSDARG00000071578,0.595,1.47,0.164,0.233,6.29,0.212,0.0284,0.0632,0.00986,0.518
ENSDARG00000071579,0.877,1.65,0.153,0.36,13.2,0.431,0.0448,0.101,0.182,5.32
ENSDARG00000071581,0.255,1.26,0.194,0.342,1.13,0.113,0.652,0.0951,0.0662,0.845
ENSDARG00000071583,0.0178,0.754,0.148,0.762,4.64,0.00889,0.158,0.177,0.125,5.56
ENSDARG00000071585,0.473,1.58,0.161,0.181,8.92,0.169,0.822,0.0642,0.0388,1.14
ENSDARG00000071586,15.4,1.39,0.094,0.328,7.77,3.59,0.784,0.029,0.0644,0.171
ENSDARG00000071588,0.234,1.52,0.14,0.409,7.82,0.0345,0.0576,0.0446,0.0779,3.89
ENSDARG00000071589,0.455,1.15,0.116,1.32,1.48,0.231,0.647,0.0746,0.218,1.27
ENSDARG00000071590,0.125,1.54,0.0808,0.221,3.69,0.0354,0.0332,0.0234,0.0417,2.23
ENSDARG00000071592,4.42,1.61,0.091,0.141,56.4,1.88,0.0311,0.0357,0.0191,1.96
ENSDARG00000071594,1.06,3.93,0.117,0.677,3.09,0.436,1.21,0.0603,0.124,1.49
ENSDARG00000071596,0.174,1.11,0.043,0.181,18.0,0.0691,0.456,0.0241,0.0422,2.48
ENSDARG00000071601,22.2,1.59,0.111,0.669,5.09,6.6,0.0117,0.0208,0.0658,0.322
ENSDARG00000071626,5.82,1.28,0.381,1.04,1.12,2.19,0.889,0.197,0.2,0.849
ENSDARG00000071629,0.093,1.51,0.182,0.766,3.61,0.0482,0.0832,0.0677,0.0781,2.8
ENSDARG00000071636,0.0126,1.48,0.66,0.443,3.71,0.0066,0.712,0.846,0.0734,5.4
ENSDARG00000071640,0.125,1.5,0.168,0.14,47.8,0.121,0.11,0.124,0.0606,27.3
ENSDARG00000071643,0.585,0.603,0.175,0.324,2.04,0.249,0.175,0.0785,0.0636,1.45
ENSDARG00000071644,0.395,1.37,0.128,0.265,1.22,0.156,0.238,0.0658,0.0317,0.594
ENSDARG00000071648,0.04,1.41,0.156,0.541,2.82,0.0212,0.76,0.138,0.0923,3.72
ENSDARG00000071652,1.72,0.36,0.134,0.551,2.56,0.837,0.325,0.0575,0.148,2.16
ENSDARG00000071658,6.0,1.46,0.323,0.715,3.57,7.02,0.793,0.567,0.207,1.11
ENSDARG00000071662,0.134,1.47,0.205,0.53,1.64,0.0677,0.798,0.124,0.0949,1.91
ENSDARG00000071669,2.56,1.48,0.162,0.839,0.769,1.03,0.8,0.0718,0.17,0.474
ENSDARG00000071670,21.3,1.49,0.176,0.515,1.79,7.49,0.857,0.0684,0.103,0.794
ENSDARG00000071671,1.77,1.11,0.251,0.225,1.31,0.57,0.216,0.0837,0.0511,0.871
ENSDARG00000071673,6.84,1.29,0.358,0.558,0.757,4.08,0.834,0.254,0.0857,0.319
ENSDARG00000071678,0.661,1.39,0.0349,0.441,2.54,0.217,0.77,0.0213,0.0903,1.31
ENSDARG00000071679,9.1,1.59,0.173,0.553,0.676,2.55,0.842,0.0584,0.106,0.376
ENSDARG00000071680,0.0208,1.32,0.707,0.235,2.94,0.0108,0.645,0.928,0.04,3.37
ENSDARG00000071683,2.48,1.41,0.145,0.288,1.47,0.826,0.39,0.0588,0.055,0.997
ENSDARG00000071684,3.4,1.63,0.171,0.372,8.34,0.0825,0.032,0.0126,0.0757,0.49
ENSDARG00000071685,0.143,1.54,0.0492,0.213,6.26,0.0653,0.803,0.0287,0.0453,3.6
ENSDARG00000071691,20.7,1.33,0.168,0.331,0.998,6.07,0.683,0.0604,0.0617,0.435
ENSDARG00000071692,0.595,1.56,0.189,0.317,6.24,0.303,0.823,0.103,0.0664,1.56
ENSDARG00000071694,2.29,0.294,0.103,0.581,2.65,0.966,0.149,0.0431,0.128,2.24
ENSDARG00000071697,4.3,1.23,0.23,0.421,1.09,1.59,0.7,0.0912,0.0833,0.723
ENSDARG00000071699,0.763,1.84,0.152,0.561,2.0,0.325,0.588,0.0777,0.098,1.31
ENSDARG00000071709,0.384,1.57,0.0613,0.375,17.9,0.251,0.814,0.0555,0.079,7.81
ENSDARG00000071714,2.13,0.828,0.202,0.566,1.08,0.825,0.567,0.0814,0.119,0.631
ENSDARG00000071719,2.03,1.56,0.249,0.542,0.735,0.675,0.824,0.0907,0.113,0.398
ENSDARG00000071724,0.274,1.16,0.107,0.382,32.4,0.148,0.151,0.0955,0.0849,12.8
ENSDARG00000071725,0.933,0.241,0.169,0.356,1.33,0.404,0.133,0.0729,0.0918,0.99
ENSDARG00000071727,0.0317,0.345,0.68,0.194,4.48,0.0118,0.102,0.315,0.0365,4.29
ENSDARG00000071733,2.4,1.48,0.21,0.654,1.06,0.857,0.823,0.0835,0.124,0.57
ENSDARG00000071741,1.19,1.58,0.154,1.05,0.762,0.581,0.838,0.0797,0.215,0.514
ENSDARG00000071772,0.159,1.43,0.177,0.534,4.68,0.0791,0.72,0.129,0.0916,6.23
ENSDARG00000071774,7.88,1.53,0.198,0.441,0.709,2.06,0.82,0.0604,0.088,0.399
ENSDARG00000071790,1.08,1.53,0.155,1.07,0.84,0.531,0.811,0.081,0.206,0.555
ENSDARG00000071819,0.852,1.54,0.282,0.529,0.702,0.382,0.81,0.141,0.107,0.415
ENSDARG00000071823,0.251,1.51,0.321,0.316,1.14,0.165,0.85,0.356,0.0716,0.836
ENSDARG00000071833,0.99,1.32,0.219,0.502,0.786,0.406,0.71,0.0955,0.112,0.462
ENSDARG00000071860,1.77,1.78,0.0411,0.249,8.72,0.268,0.0516,0.014,0.058,0.684
ENSDARG00000071863,2.31,1.64,0.0829,0.204,0.394,0.301,0.86,0.016,0.0436,0.187
ENSDARG00000071864,1.01,1.48,0.222,0.711,1.55,0.507,0.047,0.0197,0.0562,0.869
ENSDARG00000071868,1.37,1.43,0.219,0.681,0.753,0.619,0.764,0.107,0.138,0.485
ENSDARG00000071871,1.99,1.57,0.129,0.292,4.21,0.312,0.056,0.0281,0.0236,0.153
ENSDARG00000071872,1.88,1.43,0.165,0.569,1.92,0.818,0.617,0.0828,0.0985,1.27
ENSDARG00000071876,0.203,1.53,0.121,0.208,9.84,0.101,0.0327,0.0578,0.0449,2.99
ENSDARG00000071877,5.06,1.49,0.0909,0.652,18.7,2.26,0.824,0.0542,0.113,2.17
ENSDARG00000071878,5.38,1.41,0.161,0.613,1.78,1.92,0.862,0.0639,0.112,0.956
ENSDARG00000071879,0.0795,1.48,0.117,0.227,4.78,0.0292,0.0176,0.0341,0.0419,1.79
ENSDARG00000071881,6.37,1.16,0.214,0.706,0.782,2.56,0.654,0.0923,0.145,0.497
ENSDARG00000071904,0.0685,1.63,0.0637,0.098,20.5,0.0138,0.0419,0.0126,0.0148,1.32
ENSDARG00000071906,3.99,0.506,0.24,0.315,0.927,1.75,0.189,0.107,0.0698,0.628
ENSDARG00000073665,0.561,1.22,0.145,0.696,1.27,0.246,0.609,0.078,0.123,0.986
ENSDARG00000073673,3.09,1.07,0.143,1.07,1.06,1.42,0.611,0.0722,0.194,0.71
ENSDARG00000073684,1.88,1.48,0.277,0.158,7.81,0.616,0.785,0.0978,0.0407,0.354
ENSDARG00000073686,0.783,1.78,0.14,0.501,1.79,0.277,0.437,0.0553,0.094,1.13
ENSDARG00000073688,0.698,1.63,0.0942,0.39,0.938,0.174,0.847,0.0326,0.0722,0.54
ENSDARG00000073695,0.176,1.58,0.236,0.398,2.05,0.0763,0.849,0.123,0.0716,1.24
ENSDARG00000073696,2.77,0.396,0.208,0.232,2.38,1.16,0.275,0.0889,0.0589,1.18
ENSDARG00000073699,8.79,1.58,0.0759,0.62,29.6,4.7,0.831,0.0583,0.122,2.59
ENSDARG00000073704,1.11,1.56,0.0297,0.367,19.8,0.656,0.818,0.0339,0.0977,2.53
ENSDARG00000073705,0.963,0.928,0.141,0.559,1.67,0.383,0.341,0.0656,0.1,1.27
ENSDARG00000073707,1.82,0.861,0.609,0.755,1.49,0.97,0.8,0.455,0.106,1.12
ENSDARG00000073708,0.181,1.48,0.19,0.623,1.36,0.0727,0.0534,0.0771,0.124,0.744
ENSDARG00000073709,0.0622,0.81,0.144,0.564,2.76,0.0305,0.43,0.123,0.1,3.24
ENSDARG00000073710,6.54,0.334,0.177,0.395,1.22,2.63,0.228,0.0684,0.102,0.89
ENSDARG00000073711,0.301,1.47,0.144,0.314,2.19,0.0941,0.0207,0.0575,0.0287,0.605
ENSDARG00000073713,0.18,1.61,0.0641,0.373,19.6,0.0643,0.177,0.0433,0.224,13.1
ENSDARG00000073716,0.511,1.24,0.0566,0.246,17.6,0.182,0.744,0.0279,0.052,1.64
ENSDARG00000073718,0.47,1.04,0.167,0.516,2.43,0.218,0.583,0.0953,0.0898,1.66
ENSDARG00000073720,0.52,1.74,0.11,0.329,28.7,0.275,0.212,0.0702,0.0344,3.89
ENSDARG00000073721,1.81,1.6,0.161,0.346,0.522,0.422,0.835,0.0471,0.0687,0.305
ENSDARG00000073723,0.236,1.59,0.112,0.741,1.54,0.105,0.831,0.0576,0.135,1.01
