GeneID,beta_mean,delta_m_mean,delta_z_mean,sigma_y_mean,t_zga_mean,beta_std,delta_m_std,delta_z_std,sigma_y_std,t_zga_std
ENSDARG00000028096,5.29,1.57,0.187,1.17,1.26,2.16,0.836,0.0921,0.2,0.643
ENSDARG00000028098,2.71,1.58,0.133,0.66,2.93,1.26,0.855,0.0833,0.112,0.748
ENSDARG00000028099,0.755,1.59,0.119,0.403,6.22,0.285,0.86,0.0491,0.0827,1.52
ENSDARG00000028106,22.4,1.58,0.265,0.431,0.554,7.37,0.834,0.107,0.0834,0.21
ENSDARG00000028118,1.04,1.23,0.0899,0.554,26.6,0.515,0.654,0.059,0.101,4.58
ENSDARG00000028119,36.8,0.284,0.115,0.573,2.49,15.5,0.166,0.0476,0.133,2.0
ENSDARG00000028131,2.23,1.2,0.481,0.539,1.76,1.04,0.799,0.581,0.205,1.44
ENSDARG00000028148,3.59,1.59,0.13,0.551,7.24,0.473,0.0391,0.0289,0.0525,0.603
ENSDARG00000028159,1.42,1.46,0.153,0.941,0.834,0.655,0.788,0.0769,0.192,0.534
ENSDARG00000028163,0.207,1.59,0.0464,0.299,11.8,0.134,0.856,0.0486,0.0734,3.29
ENSDARG00000028164,3.61,1.59,0.209,0.315,0.827,0.857,0.866,0.0575,0.0633,0.354
ENSDARG00000028173,0.688,1.57,0.0909,0.403,2.9,0.21,0.837,0.034,0.0744,1.13
ENSDARG00000028192,0.455,1.35,0.13,0.239,2.5,0.142,0.245,0.0475,0.0473,1.42
ENSDARG00000028198,33.8,1.04,0.217,0.527,1.11,11.4,0.675,0.0782,0.107,0.626
ENSDARG00000028201,2.25,2.12,0.113,0.328,4.47,0.746,0.543,0.043,0.0659,1.2
ENSDARG00000028213,2.05,1.55,0.0471,0.311,9.72,0.866,0.832,0.0257,0.0654,1.94
ENSDARG00000028222,0.108,1.5,0.0946,0.191,3.11,0.0474,0.0672,0.0601,0.0472,0.965
ENSDARG00000028228,2.91,1.35,0.108,0.64,4.45,1.31,0.685,0.0585,0.115,1.97
ENSDARG00000028257,0.102,1.51,0.15,0.452,6.42,0.0506,0.0693,0.0884,0.0388,6.6
ENSDARG00000028259,0.957,1.26,0.103,0.346,3.91,0.371,0.203,0.0473,0.0654,1.98
ENSDARG00000028275,2.8,1.66,0.0951,0.497,12.3,0.723,0.072,0.0186,0.123,4.68
ENSDARG00000028276,0.232,1.54,0.128,0.273,35.5,0.0588,0.244,0.109,0.214,16.4
ENSDARG00000028295,2.12,0.369,0.0973,0.865,2.63,0.946,0.161,0.049,0.165,2.28
ENSDARG00000028306,1.36,1.53,0.143,0.474,2.82,0.62,0.0389,0.0828,0.0664,0.486
ENSDARG00000028321,2.51,1.07,0.131,1.17,1.14,1.18,0.621,0.0692,0.21,0.78
ENSDARG00000028322,1.17,1.55,0.162,0.631,0.848,0.479,0.809,0.0865,0.113,0.565
ENSDARG00000028327,14.8,0.962,0.182,0.38,1.91,4.71,0.505,0.0634,0.076,0.904
ENSDARG00000028333,0.00791,1.4,0.544,0.477,3.94,0.00404,0.739,0.675,0.0724,4.44
ENSDARG00000028335,221.0,0.885,0.101,1.14,1.41,96.6,0.585,0.0484,0.209,0.907
ENSDARG00000028336,2.01,1.55,0.0648,0.541,5.06,1.13,0.819,0.0472,0.101,2.38
ENSDARG00000028346,1.26,1.59,0.186,0.84,1.49,0.52,0.836,0.088,0.148,0.753
ENSDARG00000028348,0.18,1.61,0.139,0.334,2.19,0.0683,0.85,0.0574,0.0662,1.16
ENSDARG00000028354,0.333,1.6,0.0653,0.174,43.9,0.164,0.849,0.0388,0.0377,4.13
ENSDARG00000028367,0.361,1.56,0.182,0.416,1.89,0.158,0.841,0.1,0.0744,0.983
ENSDARG00000028379,3.42,1.26,0.187,0.539,1.12,1.2,0.799,0.073,0.103,0.747
ENSDARG00000028386,1.08,0.739,0.119,0.544,2.79,0.562,0.265,0.08,0.0986,2.46
ENSDARG00000028393,0.108,1.61,0.0903,0.273,9.13,0.0612,0.121,0.0527,0.0797,8.62
ENSDARG00000028396,7.82,1.05,0.109,0.793,34.3,3.84,0.591,0.0854,0.148,4.29
ENSDARG00000028401,4.58,0.375,0.135,0.542,1.68,1.88,0.167,0.0583,0.111,1.34
ENSDARG00000028431,4.61,0.669,0.193,0.509,1.0,1.84,0.421,0.0805,0.109,0.681
ENSDARG00000028442,0.563,0.347,0.147,0.331,1.94,0.214,0.124,0.0566,0.0705,1.52
ENSDARG00000028448,2.01,1.23,0.196,0.469,0.912,0.75,0.574,0.083,0.0918,0.593
ENSDARG00000028469,0.152,1.25,0.104,0.141,49.8,0.0719,0.746,0.0548,0.0308,6.0
ENSDARG00000028475,1.57,0.349,0.139,0.412,1.85,0.615,0.154,0.0547,0.0877,1.49
ENSDARG00000028478,0.541,1.56,0.0674,0.404,34.8,0.089,0.0347,0.0399,0.347,17.9
ENSDARG00000028485,1.11,1.57,0.169,0.25,41.6,0.837,0.0592,0.0867,0.252,20.6
ENSDARG00000028507,1.35,1.57,0.078,0.374,7.65,0.516,0.826,0.0418,0.0714,0.87
ENSDARG00000028517,0.684,1.15,0.031,0.265,6.45,0.235,0.24,0.019,0.0638,1.14
ENSDARG00000028521,0.2,1.88,0.0323,0.269,24.0,0.0269,0.234,0.0172,0.0982,7.61
ENSDARG00000028523,6.35,0.85,0.124,0.835,1.19,2.6,0.487,0.0562,0.157,0.808
ENSDARG00000028533,6.67,0.989,0.125,0.388,5.11,2.61,0.503,0.0579,0.0805,1.05
ENSDARG00000028539,3.04,0.132,0.132,0.188,4.42,1.15,0.0206,0.0492,0.0432,3.36
ENSDARG00000028541,0.493,1.27,0.237,0.403,1.01,0.193,0.774,0.1,0.0806,0.623
ENSDARG00000028542,18.3,0.513,0.229,0.423,1.21,6.51,0.387,0.084,0.103,0.666
ENSDARG00000028546,7.49,1.36,0.0742,0.22,2.7,2.17,0.369,0.0286,0.0448,1.13
ENSDARG00000028552,0.485,1.8,0.0615,0.305,29.7,0.362,0.269,0.0531,0.24,13.2
ENSDARG00000028559,2.24,1.61,0.107,0.243,3.26,0.773,0.248,0.043,0.0496,1.44
ENSDARG00000028581,2.27,0.558,0.199,0.394,1.17,0.94,0.271,0.0847,0.0814,0.857
ENSDARG00000028583,0.0789,1.4,0.0557,0.173,2.18,0.0156,0.247,0.0152,0.0224,1.02
ENSDARG00000028586,0.0799,1.71,0.0464,0.214,14.8,0.0279,0.114,0.017,0.0392,2.79
ENSDARG00000028614,18.5,0.773,0.819,0.154,0.347,6.68,0.365,0.305,0.0498,0.109
ENSDARG00000028618,2.91,1.57,0.048,0.294,13.8,0.837,0.843,0.0205,0.0585,1.45
ENSDARG00000028625,4.43,1.59,0.0523,0.255,16.5,1.63,0.846,0.0258,0.0545,1.18
ENSDARG00000028628,0.166,1.55,0.03,0.21,14.6,0.0742,0.84,0.021,0.0514,3.63
ENSDARG00000028661,4.69,1.06,0.159,0.488,7.26,2.08,0.609,0.0807,0.0984,1.05
ENSDARG00000028663,0.553,1.57,0.18,0.361,1.54,0.195,0.836,0.0721,0.0702,0.704
ENSDARG00000028664,0.885,1.58,0.0985,0.477,3.19,0.277,0.835,0.0385,0.0862,0.87
ENSDARG00000028676,0.747,1.56,0.0469,0.325,2.5,0.255,0.811,0.023,0.0651,1.3
ENSDARG00000028688,2.68,0.886,0.112,0.805,1.86,1.08,0.436,0.0499,0.142,1.31
ENSDARG00000028699,10.6,1.28,0.249,0.344,0.606,3.33,0.654,0.0873,0.077,0.397
ENSDARG00000028715,0.931,1.86,0.11,0.299,5.83,0.371,0.25,0.0534,0.059,1.24
ENSDARG00000028721,2.37,1.25,0.163,0.244,2.2,0.743,0.164,0.0566,0.0487,1.35
ENSDARG00000028731,0.394,2.59,0.182,0.977,8.29,0.195,1.08,0.154,0.16,7.63
ENSDARG00000028740,0.269,1.72,0.0919,0.228,24.1,0.112,0.85,0.0459,0.0461,2.59
ENSDARG00000028748,27.3,0.509,0.859,0.318,0.711,10.9,0.171,0.263,0.0196,0.406
ENSDARG00000028784,0.054,2.43,0.163,0.514,3.96,0.0261,0.272,0.149,0.0877,4.67
ENSDARG00000028786,0.34,1.45,0.169,0.879,2.26,0.172,0.764,0.118,0.143,2.79
ENSDARG00000028793,0.362,1.16,0.0491,0.353,19.7,0.22,0.494,0.0429,0.0823,5.08
ENSDARG00000028800,1.74,1.24,0.225,0.755,0.863,0.81,0.683,0.115,0.147,0.558
ENSDARG00000028804,2.93,1.53,0.169,0.786,6.7,1.8,0.818,0.141,0.148,2.04
ENSDARG00000028815,1.11,1.68,0.204,0.325,0.618,0.34,0.848,0.075,0.0647,0.38
ENSDARG00000028816,2.53,1.69,0.095,0.609,1.03,0.73,0.855,0.0394,0.106,0.686
ENSDARG00000028824,0.248,1.56,0.087,0.308,31.3,0.151,0.824,0.066,0.066,13.6
ENSDARG00000028845,0.103,1.6,0.0664,0.257,21.9,0.0658,0.176,0.0564,0.189,17.1
ENSDARG00000028848,3.43,0.885,0.166,0.405,1.53,1.18,0.251,0.0619,0.0801,1.06
ENSDARG00000028850,0.108,1.01,0.334,1.17,2.53,0.0482,0.579,0.329,0.161,3.95
ENSDARG00000028857,0.14,0.999,0.384,0.637,2.74,0.0763,0.541,0.306,0.106,4.98
ENSDARG00000028862,0.312,1.39,0.106,0.345,51.2,0.15,0.755,0.0678,0.0706,9.31
ENSDARG00000028878,0.115,1.66,0.0944,0.255,22.6,0.0505,0.178,0.0539,0.104,11.5
ENSDARG00000028889,12.7,0.905,0.0796,0.399,4.94,6.34,0.694,0.0478,0.0853,2.19
ENSDARG00000028894,4.27,1.05,0.125,1.15,1.14,1.97,0.621,0.0652,0.205,0.788
ENSDARG00000028896,1.39,0.719,0.149,0.476,2.17,0.623,0.189,0.0779,0.0862,1.68
ENSDARG00000028899,0.165,1.56,0.102,0.241,6.45,0.0498,0.0321,0.0242,0.0394,2.56
ENSDARG00000028900,0.81,1.33,0.15,0.742,0.972,0.344,0.743,0.0666,0.154,0.623
ENSDARG00000028937,0.719,1.37,0.147,0.906,1.07,0.329,0.744,0.078,0.164,0.779
ENSDARG00000028943,1.37,1.59,0.0744,0.407,2.38,0.413,0.853,0.0287,0.0751,0.944
ENSDARG00000028949,0.498,1.44,0.18,0.353,1.06,0.181,0.624,0.076,0.0686,0.713
ENSDARG00000028957,6.84,1.34,0.282,0.404,1.97,2.88,0.741,0.129,0.081,0.771
ENSDARG00000028971,6.62,1.38,0.126,1.25,0.887,3.04,0.762,0.0656,0.234,0.587
ENSDARG00000028973,0.0677,1.48,0.122,0.182,8.21,0.00702,0.0487,0.0329,0.0482,3.26
ENSDARG00000028976,0.528,0.3,0.112,0.553,2.77,0.255,0.209,0.0502,0.133,2.45
ENSDARG00000028982,11.8,1.24,0.363,0.425,0.655,4.16,0.692,0.136,0.0997,0.33
ENSDARG00000029003,59.2,0.87,0.511,0.658,2.35,80.7,0.59,0.568,0.154,2.53
ENSDARG00000029011,21.3,1.05,0.62,0.41,0.422,7.9,0.748,0.255,0.0685,0.174
ENSDARG00000029018,4.69,1.59,0.237,0.231,3.75,1.27,0.855,0.0717,0.0524,0.349
ENSDARG00000029019,0.394,1.59,0.101,0.368,9.72,0.167,0.827,0.046,0.0735,3.16
ENSDARG00000029036,1.12,0.59,0.113,0.657,2.11,0.479,0.201,0.0592,0.116,1.77
ENSDARG00000029039,0.215,1.59,0.211,0.451,2.7,0.104,0.85,0.138,0.0791,4.72
ENSDARG00000029043,2.12,0.892,0.165,0.758,1.07,0.886,0.575,0.072,0.153,0.663
ENSDARG00000029045,1.25,0.143,0.137,0.39,2.29,0.577,0.0691,0.0631,0.101,2.12
ENSDARG00000029051,0.078,0.596,0.0839,0.155,34.0,0.0416,0.0896,0.0584,0.0433,11.8
ENSDARG00000029057,0.724,1.77,0.0738,0.265,19.2,0.258,0.139,0.0407,0.0553,1.36
ENSDARG00000029058,15.3,0.916,0.102,0.915,1.88,6.22,0.577,0.0473,0.159,1.33
ENSDARG00000029063,2.98,0.613,0.17,0.346,1.3,1.57,0.24,0.101,0.0673,0.936
ENSDARG00000029064,56.8,2.04,0.12,0.746,2.91,23.3,1.04,0.0685,0.126,1.21
ENSDARG00000029069,292.0,1.1,0.0866,0.636,20.5,122.0,0.669,0.0489,0.119,1.61
ENSDARG00000029071,1.67,2.44,0.142,0.454,1.8,0.514,0.655,0.0504,0.0876,1.05
ENSDARG00000029072,4.58,2.27,0.115,0.196,0.585,0.76,1.08,0.0249,0.0432,0.338
ENSDARG00000029075,10.6,1.19,0.229,0.828,1.03,4.2,0.72,0.0995,0.153,0.621
ENSDARG00000029088,0.843,1.61,0.15,0.49,0.812,0.274,0.845,0.0601,0.0915,0.45
ENSDARG00000029100,7.83,1.58,0.272,0.461,0.545,2.45,0.83,0.0979,0.0977,0.255
ENSDARG00000029105,1.32,1.39,0.316,0.226,2.79,0.276,0.0626,0.0619,0.0977,0.45
ENSDARG00000029107,15.3,0.99,0.25,0.474,0.707,5.69,0.536,0.0995,0.106,0.424
ENSDARG00000029112,1.15,1.32,0.428,0.616,2.06,0.579,0.836,0.283,0.0965,0.83
ENSDARG00000029114,0.584,1.54,0.0527,0.258,20.5,0.244,0.829,0.0283,0.0529,2.76
ENSDARG00000029124,0.063,1.59,0.0613,0.161,10.1,0.0326,0.839,0.0442,0.0378,3.95
ENSDARG00000029133,2.36,1.08,0.164,0.386,1.41,0.763,0.297,0.0588,0.0753,0.971
ENSDARG00000029146,2.7,0.934,0.315,0.288,0.755,1.01,0.453,0.123,0.0645,0.419
ENSDARG00000029150,420.0,1.44,0.233,0.277,0.849,93.8,0.809,0.0584,0.0553,0.424
ENSDARG00000029157,4.07,1.35,0.173,0.769,0.8,1.62,0.766,0.0745,0.163,0.476
ENSDARG00000029168,2.5,1.03,0.184,0.911,1.17,1.17,0.59,0.0965,0.161,0.85
ENSDARG00000029170,3.24,1.16,0.235,0.682,0.922,1.47,0.624,0.122,0.125,0.593
ENSDARG00000029177,0.405,1.5,0.043,0.258,18.9,0.187,0.817,0.0266,0.0571,3.42
ENSDARG00000029179,2.35,1.12,0.131,0.512,6.71,1.01,0.627,0.0591,0.111,1.72
ENSDARG00000029204,3.9,1.46,0.105,0.48,17.6,1.44,0.785,0.0464,0.0893,1.36
ENSDARG00000029215,5.01,1.22,0.347,0.652,0.871,3.0,0.838,0.23,0.116,0.448
ENSDARG00000029219,0.181,1.44,0.293,0.465,1.19,0.0715,0.0685,0.0879,0.112,0.395
ENSDARG00000029230,4.17,1.66,0.0319,0.2,69.4,0.577,0.085,0.00508,0.0228,0.515
ENSDARG00000029232,0.174,1.45,0.21,0.378,0.988,0.0678,0.0616,0.0832,0.0852,0.226
ENSDARG00000029234,0.624,0.922,0.362,0.48,1.05,0.369,0.54,0.267,0.0869,0.714
ENSDARG00000029239,0.899,1.55,0.0983,0.565,28.0,0.517,0.835,0.0815,0.103,8.09
ENSDARG00000029242,1.66,0.778,0.19,0.24,0.918,0.574,0.253,0.0728,0.0495,0.546
ENSDARG00000029248,22.0,0.987,0.153,0.852,1.08,8.97,0.644,0.0677,0.17,0.672
ENSDARG00000029250,2.72,1.23,0.446,0.333,0.867,1.06,0.86,0.168,0.0659,0.287
ENSDARG00000029252,5.35,0.153,0.118,0.415,3.66,2.43,0.0705,0.052,0.102,3.07
ENSDARG00000029259,0.321,0.797,0.0713,0.334,5.45,0.141,0.159,0.0426,0.067,2.92
ENSDARG00000029263,7.8,1.48,0.152,0.446,6.32,2.51,0.798,0.0551,0.0865,0.554
ENSDARG00000029290,3.88,1.5,0.249,0.611,2.89,0.442,0.0479,0.0566,0.0709,0.64
ENSDARG00000029291,1.44,0.666,0.183,0.752,1.53,0.688,0.324,0.0968,0.136,1.24
ENSDARG00000029292,6.08,0.627,0.175,0.376,1.78,2.2,0.231,0.0648,0.0756,1.25
ENSDARG00000029296,0.194,1.22,0.0385,0.159,9.49,0.055,0.612,0.0157,0.0378,1.87
ENSDARG00000029305,0.657,0.73,0.148,0.407,2.67,0.296,0.105,0.0748,0.0755,2.03
ENSDARG00000029307,1.13,0.388,0.192,0.368,1.21,0.484,0.198,0.083,0.0834,0.899
ENSDARG00000029308,0.28,1.38,0.104,0.394,6.33,0.144,0.398,0.069,0.0753,3.4
ENSDARG00000029331,0.812,1.23,0.161,0.577,1.94,0.397,0.541,0.0992,0.101,1.61
ENSDARG00000029353,4.59,0.545,0.144,0.431,2.36,1.8,0.113,0.062,0.0808,1.68
ENSDARG00000029356,0.98,0.19,0.111,0.47,3.25,0.434,0.0619,0.0504,0.101,2.79
ENSDARG00000029370,1.96,1.51,0.228,0.505,3.64,0.529,0.131,0.113,0.0639,0.54
ENSDARG00000029372,0.197,1.54,0.0986,0.353,4.46,0.095,0.806,0.0584,0.0637,3.2
ENSDARG00000029381,1.16,1.51,0.234,0.548,6.06,0.249,0.0764,0.0479,0.0803,0.474
ENSDARG00000029388,0.512,1.57,0.176,0.664,9.31,0.282,0.116,0.157,0.118,3.84
ENSDARG00000029402,7.08,1.04,0.673,0.198,0.729,2.35,0.716,0.229,0.0506,0.174
ENSDARG00000029406,11.4,1.55,0.156,0.68,1.35,3.9,0.872,0.064,0.125,0.571
ENSDARG00000029415,2.57,1.46,0.111,0.393,1.42,0.726,0.734,0.0409,0.0706,0.671
ENSDARG00000029431,0.182,1.43,0.254,0.494,1.6,0.0814,0.0587,0.0196,0.0796,0.659
ENSDARG00000029432,0.186,0.575,0.977,0.601,3.96,0.0718,0.156,0.301,0.129,3.84
ENSDARG00000029439,1.73,2.04,0.138,0.586,4.24,1.12,0.458,0.119,0.118,1.97
ENSDARG00000029443,7.25,1.67,0.175,0.594,3.82,2.87,0.898,0.08,0.114,0.787
ENSDARG00000029445,41.5,0.755,0.139,0.978,1.19,18.8,0.451,0.0686,0.182,0.814
ENSDARG00000029457,0.627,1.63,0.121,0.325,16.1,0.346,0.0886,0.0659,0.106,6.19
ENSDARG00000029461,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000029463,2.16,1.59,0.147,0.266,4.54,0.549,0.841,0.0448,0.0542,0.362
ENSDARG00000029472,1.49,1.12,0.124,0.495,1.59,0.546,0.443,0.0568,0.0875,1.18
ENSDARG00000029473,0.745,1.58,0.229,0.672,0.745,0.34,0.84,0.123,0.127,0.523
ENSDARG00000029474,1.24,1.62,0.197,0.428,1.63,0.413,0.849,0.075,0.0776,0.89
ENSDARG00000029476,0.75,1.52,0.0261,0.142,47.8,0.426,0.74,0.0221,0.0403,4.15
ENSDARG00000029479,2.21,1.13,0.152,0.348,3.42,1.21,0.286,0.0825,0.0765,2.22
ENSDARG00000029480,0.41,0.908,0.394,0.808,6.32,0.182,0.468,0.345,0.118,7.43
ENSDARG00000029482,0.0841,0.636,0.581,0.228,3.75,0.0345,0.451,0.246,0.0592,5.52
ENSDARG00000029493,0.243,1.56,0.0832,0.246,16.5,0.0996,0.816,0.0411,0.0491,3.0
ENSDARG00000029497,0.131,1.59,0.1,0.279,4.83,0.0731,0.849,0.0737,0.0559,2.94
ENSDARG00000029500,544.0,1.61,0.142,0.277,3.77,114.0,0.857,0.0355,0.0572,0.333
ENSDARG00000029501,1.46,0.829,0.187,0.293,1.78,0.622,0.199,0.0858,0.0564,1.21
ENSDARG00000029510,16.9,1.27,0.315,0.275,0.494,5.1,0.6,0.104,0.0628,0.303
ENSDARG00000029511,0.00314,0.969,0.717,0.472,4.34,0.0014,0.251,0.585,0.0741,4.74
ENSDARG00000029524,12.2,1.55,0.173,0.551,0.887,3.42,0.861,0.0579,0.105,0.459
ENSDARG00000029533,499.0,1.43,0.156,0.363,2.98,140.0,0.73,0.0507,0.0728,0.686
ENSDARG00000029544,1.39,1.44,0.0932,0.397,5.69,0.705,0.784,0.0592,0.0726,1.45
ENSDARG00000029546,0.147,1.48,0.29,0.386,1.86,0.101,0.829,0.347,0.0782,1.97
ENSDARG00000029556,8.05,0.676,0.194,0.567,0.944,3.24,0.419,0.082,0.122,0.616
ENSDARG00000029569,0.0356,1.7,0.137,0.146,2.66,0.0148,0.0951,0.0654,0.0315,2.11
ENSDARG00000029581,4.27,1.31,0.386,0.318,0.459,2.26,0.769,0.24,0.0583,0.278
ENSDARG00000029587,0.881,0.782,0.132,0.508,3.7,0.516,0.234,0.0996,0.0992,2.82
ENSDARG00000029596,2.26,1.5,0.13,0.51,3.27,1.01,0.0439,0.0694,0.0435,1.22
ENSDARG00000029600,1.63,0.195,0.123,0.362,3.11,0.682,0.0698,0.0506,0.0811,2.42
ENSDARG00000029609,0.218,0.415,0.171,0.521,5.0,0.11,0.088,0.111,0.0954,5.38
ENSDARG00000029612,4.09,0.329,0.155,0.339,2.08,1.52,0.128,0.0567,0.073,1.68
ENSDARG00000029615,4.96,0.264,0.144,0.415,2.39,2.09,0.155,0.0588,0.103,1.79
ENSDARG00000029621,3.08,1.58,0.208,0.287,1.41,0.85,0.759,0.0633,0.0575,0.764
ENSDARG00000029639,8.39,0.841,0.245,0.534,0.833,3.38,0.47,0.103,0.112,0.524
ENSDARG00000029660,1.45,3.43,0.15,0.229,3.16,0.473,1.01,0.055,0.0511,0.88
ENSDARG00000029663,23.5,1.65,0.222,0.361,2.7,8.3,0.94,0.0845,0.0802,0.821
ENSDARG00000029668,0.21,0.93,0.0763,0.363,12.5,0.13,0.342,0.0709,0.0814,6.57
ENSDARG00000029671,3.47,0.777,0.203,0.318,1.11,1.39,0.253,0.088,0.0638,0.777
ENSDARG00000029688,0.176,1.53,0.122,0.432,3.0,0.0903,0.805,0.0923,0.0786,4.17
ENSDARG00000029689,1.69,1.31,0.042,0.391,29.6,1.06,0.694,0.0389,0.0963,3.38
ENSDARG00000029692,1.81,0.883,0.0717,0.525,6.47,0.741,0.31,0.0412,0.103,2.32
ENSDARG00000029695,2.26,3.36,0.155,0.563,4.98,0.937,0.84,0.0736,0.106,1.28
ENSDARG00000029710,0.303,1.54,0.0982,0.25,13.7,0.064,0.039,0.015,0.16,5.93
ENSDARG00000029718,0.25,1.58,0.0992,0.344,9.95,0.0209,0.131,0.0272,0.128,4.24
ENSDARG00000029722,119.0,0.562,0.103,0.903,1.71,50.2,0.375,0.0469,0.183,1.2
ENSDARG00000029724,9.84,1.33,0.16,0.953,0.825,4.09,0.741,0.0727,0.19,0.517
ENSDARG00000029729,0.454,0.858,0.0464,0.344,4.35,0.206,0.237,0.035,0.077,2.39
ENSDARG00000029747,2.11,1.51,0.0796,0.151,71.3,0.83,0.82,0.0386,0.0319,0.319
ENSDARG00000029751,1.31,1.57,0.264,0.672,0.791,0.586,0.826,0.14,0.121,0.462
ENSDARG00000029761,1.33,2.2,0.0661,0.253,1.84,0.412,0.486,0.029,0.0534,1.04
ENSDARG00000029764,5.53,1.29,0.0987,0.697,8.46,2.11,0.708,0.0494,0.124,1.29
ENSDARG00000029766,0.189,1.58,0.0436,0.266,1.62,0.0831,0.842,0.0324,0.0641,1.1
ENSDARG00000029768,3.06,0.87,0.175,0.383,1.71,1.14,0.24,0.0686,0.0754,1.13
ENSDARG00000029783,4.05,0.681,0.162,0.727,1.2,1.79,0.378,0.0772,0.138,0.856
ENSDARG00000029795,3.89,0.812,0.209,0.377,1.61,1.43,0.335,0.0814,0.0719,1.07
ENSDARG00000029818,69.3,1.38,0.178,0.864,1.14,25.9,0.758,0.0768,0.157,0.62
ENSDARG00000029822,7.34,1.51,0.0502,0.313,70.3,3.11,0.827,0.0333,0.0597,0.919
ENSDARG00000029830,0.701,1.58,0.128,0.374,9.53,0.378,0.0895,0.0679,0.112,3.83
ENSDARG00000029832,1.24,1.49,0.225,1.05,1.15,0.266,0.0533,0.0154,0.125,0.355
ENSDARG00000029838,0.00204,1.55,0.0676,0.239,3.06,0.000807,0.0114,0.0147,0.0518,2.4
ENSDARG00000029841,0.515,1.58,0.13,0.449,5.19,0.229,0.849,0.0635,0.087,1.86
ENSDARG00000029848,0.364,1.01,0.282,0.774,1.95,0.136,0.737,0.248,0.121,1.18
ENSDARG00000029856,4.42,0.527,0.114,0.597,2.14,1.66,0.171,0.0458,0.112,1.62
ENSDARG00000029859,0.191,1.08,0.101,0.559,2.62,0.0788,0.201,0.0524,0.0986,2.0
ENSDARG00000029865,1.55,1.43,0.0951,0.347,2.55,0.474,0.265,0.0389,0.0526,0.444
ENSDARG00000029866,0.107,1.61,0.074,0.158,15.4,0.0302,0.137,0.0371,0.0179,1.52
ENSDARG00000029874,1.31,1.5,0.188,0.751,1.77,0.534,0.0688,0.0946,0.0927,0.778
ENSDARG00000029881,0.0891,1.24,0.184,0.466,4.23,0.0453,0.627,0.151,0.0806,5.34
ENSDARG00000029885,18.8,1.0,0.449,0.221,0.636,5.43,0.658,0.144,0.0489,0.26
ENSDARG00000029890,0.116,1.47,0.143,0.271,34.0,0.0324,0.129,0.15,0.0673,28.7
ENSDARG00000029894,0.851,1.68,0.126,0.37,17.6,0.322,0.0576,0.0615,0.0734,0.725
ENSDARG00000029898,0.268,1.55,0.109,0.28,28.9,0.178,0.119,0.0527,0.243,22.8
ENSDARG00000029905,5.93,1.48,0.327,0.814,0.741,2.57,0.783,0.163,0.147,0.486
ENSDARG00000029907,0.0597,1.5,0.167,0.412,2.24,0.0302,0.796,0.119,0.072,2.58
ENSDARG00000029911,5.63,0.496,0.147,0.752,1.28,2.53,0.309,0.0684,0.157,0.912
ENSDARG00000029928,3.09,0.964,0.152,0.43,1.47,0.98,0.407,0.0545,0.081,0.944
ENSDARG00000029930,0.0611,1.48,0.0885,0.114,6.25,0.0208,0.046,0.0329,0.0106,2.48
ENSDARG00000029931,6.22,1.53,0.266,0.584,0.595,2.23,0.832,0.104,0.132,0.309
ENSDARG00000029936,1.34,0.722,0.096,0.327,5.0,0.67,0.159,0.0578,0.0673,2.59
ENSDARG00000029944,1.09,1.34,0.11,0.693,1.68,0.432,0.411,0.0469,0.131,1.17
ENSDARG00000029952,1.19,1.61,0.15,0.378,0.758,0.384,0.857,0.0636,0.0702,0.407
ENSDARG00000029955,0.713,0.986,0.0894,0.394,3.75,0.241,0.363,0.0355,0.0735,2.19
ENSDARG00000029995,34.8,1.55,0.105,0.918,30.1,17.7,0.819,0.0848,0.16,2.41
ENSDARG00000030006,1.06,1.59,0.168,1.09,1.5,0.468,0.834,0.0919,0.182,0.814
ENSDARG00000030012,5.42,1.37,0.165,0.288,4.29,2.07,0.363,0.0673,0.0655,1.62
ENSDARG00000030020,2.58,0.609,0.215,0.151,1.5,0.794,0.202,0.0691,0.0335,0.885
ENSDARG00000030022,4.95,0.749,0.177,0.632,1.02,2.0,0.493,0.0741,0.135,0.635
ENSDARG00000030038,5.32,1.14,0.155,0.444,1.87,1.93,0.404,0.0637,0.0811,1.15
ENSDARG00000030053,19.5,1.71,0.0618,0.347,1.45,3.57,0.858,0.0173,0.0666,0.405
ENSDARG00000030058,0.289,1.61,0.146,0.164,15.1,0.0641,0.0695,0.0469,0.0249,0.701
ENSDARG00000030064,4.83,1.94,0.256,0.21,1.62,1.53,0.412,0.0865,0.0475,0.903
ENSDARG00000030078,0.265,2.0,0.0337,0.169,22.6,0.0591,0.174,0.0109,0.0327,2.46
ENSDARG00000030087,7.05,1.63,0.21,0.304,0.505,2.02,0.797,0.0726,0.0623,0.304
ENSDARG00000030092,5.17,1.53,0.182,0.803,0.613,2.1,0.815,0.0831,0.169,0.381
ENSDARG00000030094,0.486,1.12,0.114,0.399,2.8,0.168,0.365,0.0477,0.0721,1.68
ENSDARG00000030097,1.4,0.973,0.57,0.723,1.6,0.732,0.634,0.307,0.0886,1.9
ENSDARG00000030104,0.238,1.48,0.115,0.206,1.74,0.0823,0.00958,0.0354,0.0168,0.661
